description,type,price,size,bedrooms,car_spaces
"Sgan 915 Lt. F, Setor de Grandes Áreas Norte 915 · Brasília",Apartamento,4.956,28 m²,1 quarto,1 vaga
"Shtn Trecho 1, Asa Norte · Brasília",Apartamento,1.880,53 m²,1 quarto,1 vaga
"Sha Conjunto 5 Chácara 124, Setor Habitacional Arniqueira (águas Claras) · Brasília",Casa,2.487,150 m²,3 quartos,2 vagas
"Chácara 140 Lote 03 - Asa Sul, Asa Sul · Brasília",Studio,5.743,20 m²,1 quarto,0 vaga
"Qsd 47, Taguatinga Sul (taguatinga) · Brasília",casa,2.516,70 m²,2 quartos,1 vaga
"St. Mansães Taguatinga Qsc 19 Conjuto A Lote 32 Casa 4 - Taguatinga Brasília - Df 72001-305 Brasil, Setor Habitacional Samambaia (taguatinga) · Brasília",casa,521,40 m²,2 quartos,1 vaga
"Quadra Sclrn 712 Bloco G, Asa Norte · Brasília",apartamento,2.256,24 m²,1 quarto,0 vaga
"Avenida das Castanheiras Bloco A, Norte (águas Claras) · Brasília",Apartamento,1.106,34 m²,1 quarto,0 vaga
"Rua Copaiba, Sul (águas Claras) · Brasília",apartamento,2.085,32 m²,1 quarto,1 vaga
"Eptg Qe 3 Bloco A-3, Quadras Econômicas Lúcio Costa (guará) · Brasília",Apartamento,1.844,55 m²,2 quartos,0 vaga
"Rua 10 B, Setor Habitacional Vicente Pires  · Brasília",Apartamento,2.427,27 m²,1 quarto,0 vaga
"Rua 9 Sul, Águas Claras · Brasília",Apartamento,2.485,68 m²,2 quartos,1 vaga
"Guará I Qi 5 - Guará I Brasília - Df 71020-004 Brasil, Qi 5 · Brasília",Apartamento,1.514,70 m²,2 quartos,2 vagas
"Núcleo Rural Córrego do Urubu Nr. 85 At Chácara  Araguaia Ii Lago Norte Brasília - Df Brasil, Lago Norte · Brasília",casa,3.468,170 m²,2 quartos,3 vagas
"Qsc 19 Chácara 26 Conjunto C, Taguatinga Sul (taguatinga) · Brasília",Studio,3.493,25 m²,1 quarto,0 vaga
"Rua 28 Norte, Norte (águas Claras) · Brasília",Apartamento,4.877,180 m²,4 quartos,3 vagas
"Rua 03, Setor Habitacional Vicente Pires · Brasília",Apartamento,887,30 m²,1 quarto,0 vaga
"Rua das Figueiras, Águas Claras · Brasília",apartamento,9.424,46 m²,2 quartos,1 vaga
"Setor Sig Conjunto D, Taguatinga Norte (taguatinga) · Brasília",apartamento,2.398,52 m²,2 quartos,1 vaga
"6 - Sh Mansões Sobradinho Condomínio Mini-chácaras - Sobradinho Brasília - Df Brasil, Condomínio Mini-chácaras · Brasília",apartamento,2.714,45 m²,1 quarto,0 vaga
"Ca 10, Setor de Habitações Individuais Norte · Brasília",Apartamento,1.697,60 m²,2 quartos,1 vaga
"Shtn Trecho 1 Lote 2, Asa Norte · Brasília",Apartamento,709,98 m²,2 quartos,1 vaga
"Qe 17 Conjunto C, Guará Ii · Brasília",Casa,3.838,78 m²,3 quartos,1 vaga
"Sria Ii Pólo de Moda Rua 24, Guará Ii · Brasília",Studio,12.370,50 m²,1 quarto,0 vaga
"6 - Sh Mansões Sobradinho Condomínio Mini-chácaras - Sobradinho Brasília - Df Brasil, Condomínio Mini-chácaras · Brasília",apartamento,1.797,45 m²,1 quarto,0 vaga
"Sqs 114 Bl. F, Asa Sul · Brasília",Apartamento,1.485,130 m²,3 quartos,1 vaga
"Csb 8, Taguatinga Sul (taguatinga) · Brasília",Apartamento,797,68 m²,2 quartos,0 vaga
"Quadra 105, Norte (águas Claras) · Brasília",studio,6.753,30 m²,1 quarto,0 vaga
"Setor Hoteleiro  Hotel Goinn, Taguatinga Centro (taguatinga) · Brasília",apartamento,2.133,33 m²,1 quarto,1 vaga
"St. de Habitações Individuais Sul Qi 29 - Lago Sul Brasília - Df Brasil, Qi 29 · Brasília",Casa,1.877,620 m²,4 quartos,2 vagas
"Rua 28, Norte (águas Claras) · Brasília",Apartamento,4.177,171 m²,3 quartos,3 vagas
"Shcs Sqs, Asa Sul · Brasília",Apartamento,10.490,37 m²,1 quarto,1 vaga
"Sqnw 311 Bloco E, Setor Noroeste · Brasília",apartamento,7.536,35 m²,1 quarto,1 vaga
"6 - Sh Mansões Sobradinho Condomínio Mini-chácaras - Sobradinho Brasília - Df Brasil, Condomínio Mini-chácaras · Brasília",Apartamento,3.857,45 m²,1 quarto,0 vaga
"Sh Região dos Lagos Q F - Sobradinho Brasília - Df Brasil, Q F · Brasília",,4.707,150 m²,2 quartos,0 vaga
"Rua Copaíba, Norte (águas Claras) · Brasília",Apartamento,841,35 m²,1 quarto,1 vaga
"Rua 9 Sul, Sul (águas Claras) · Brasília",Apartamento,3.217,118 m²,3 quartos,2 vagas
"Rua 3 Norte, Águas Claras · Brasília",Apartamento,3.457,50 m²,1 quarto,1 vaga
"Chácara 286 Rua 4b - St. Hab. Vicente Pires - Taguatinga Brasília - Df Brasil, Setor Habitacional Vicente Pires (taguatinga) · Brasília",apartamento,5.037,47 m²,2 quartos,1 vaga
"Quadra Sqs 203 Bloco H, Asa Sul · Brasília",apartamento,2.990,165 m²,3 quartos,1 vaga
"Qe 40 Rua 05, Guará Ii · Brasília",apartamento,2.628,48 m²,2 quartos,0 vaga
"Qe 40 Conjunto Q, Guará Ii · Brasília",Apartamento,9.140,98 m²,2 quartos,0 vaga
"Qsc 19 Chácara 26 Conjunto C, Taguatinga Sul (taguatinga) · Brasília",Studio,4.053,25 m²,1 quarto,0 vaga
"Sha Conjunto 5 Chacara 13, Setor Habitacional Arniqueira (águas Claras), 71995085, Setor Habitacional Arniqueira (águas Claras) · Brasília",Casa,2.590,1750 m²,6 quartos,6 vagas
"Quadra 2 Conjunto 11, Setor Habitacional Taquari (lago Norte) · Brasília",casa,887,110 m²,2 quartos,2 vagas
"Área Especial 2, Guará Ii · Brasília",Apartamento,12.700,44 m²,1 quarto,2 vagas
"Rua Copaíba, Norte (águas Claras) · Brasília",Apartamento,3.051,44 m²,1 quarto,1 vaga
"Quadra Sqs 306, Superquadra Sul 306 · Brasília",Apartamento,3.261,161 m²,1 quarto,0 vaga
"Trecho Trecho 02 Chácara 90 T, Setor de Habitações Individuais Norte · Brasília",casa,3.706,80 m²,2 quartos,3 vagas
"Trecho Trecho 02 Chácara 90 T, Setor de Habitações Individuais Norte · Brasília",Apartamento,13.990,200 m²,6 quartos,7 vagas
"Rua 25 Sul, Águas Claras · Brasília",Apartamento,1.784,34 m²,1 quarto,1 vaga
"Shdb Ql 32 Conj 2 Casa, Setor de Habitações Individuais Sul · Brasília",casa,2.868,600 m²,4 quartos,2 vagas
"Ca 10, Lote 1 A 4, Setor de Habitações Individuais Norte · Brasília",Apartamento,2.520,60 m²,1 quarto,1 vaga
"Clnw 1011, Setor Noroeste · Brasília",Apartamento,11.500,52 m²,1 quarto,1 vaga
"Qe 40 Rua 22 Lote A, Guará Ii · Brasília",apartamento,3.901,45 m²,1 quarto,0 vaga
"Quadra Ca 11, Setor de Habitações Individuais Norte · Brasília",casa,4.087,500 m²,2 quartos,8 vagas
"Sgcv Lote 13 Vista Park Sul Hplus Long Stay, Guará · Brasília",apartamento,1.207,29 m²,1 quarto,1 vaga
"Rua 37 Sul Lote 1719, Águas Claras · Brasília",Apartamento,8.916,42 m²,1 quarto,1 vaga
"Condomínio Petrópolis, Sobradinho · Brasília",Apartamento,2.259,40 m²,2 quartos,0 vaga
"310 - Shcnw Sqnw - Brasília Df 70297-400 Brasil, Sqnw · Brasília",Studio,2.708,118 m²,1 quarto,2 vagas
"Crnw 510 Bloco B Lote 3 E 4, Setor Noroeste · Brasília",Apartamento,891,33 m²,1 quarto,1 vaga
"Shin Ql 13 Conjunto 4, Setor de Habitações Individuais Norte · Brasília",Casa,7.847,600 m²,5 quartos,4 vagas
"Shis Qi 27 - Conjunto 14, Setor de Habitações Individuais Sul · Brasília",Casa,4.249,325 m²,4 quartos,1 vaga
"Qsc 19 Chácara 26 Conjunto C, Taguatinga Sul (taguatinga) · Brasília",studio,12.940,25 m²,1 quarto,0 vaga
"Setor Habitacional Vicente Pires, Taguatinga Norte (taguatinga) · Brasília",casa,8.179,700 m²,5 quartos,4 vagas
"0 - Qr 406 - Samambaia Brasília - Df 72318-200 Brasil, Qr 406 · Brasília",apartamento,887,57 m²,2 quartos,1 vaga
"Rua 4a Chácara, Setor Habitacional Vicente Pires (taguatinga) · Brasília",apartamento,9.810,46 m²,2 quartos,1 vaga
"Ca, Setor de Habitações Individuais Norte · Brasília",studio,1.790,36 m²,1 quarto,1 vaga
"Quadra 209, Sul (águas Claras) · Brasília",Apartamento,1.967,90 m²,3 quartos,1 vaga
"Avenida Parque Águas Claras, Norte (águas Claras) · Brasília",apartamento,2.996,162 m²,4 quartos,3 vagas
"Shin Qi, Setor de Habitações Individuais Norte · Brasília",Casa,4.206,1200 m²,6 quartos,6 vagas
