description,address,type,price,size,bedrooms,bathrooms,parking_spaces,modo
"Quadra 3, SETOR SUL, GAMA",,Aluguel Sala 280 m²,5.000,280 m²,,,,aluguel
"QC 11 Rua D, JARDINS MANGUEIRAL, BRASILIA",,Aluguel Apartamento 48 m²,2.500,48 m²,2 Quartos,,1 Vaga,aluguel
"SEPS 714/914, ASA SUL, BRASILIA",,Aluguel Sala 35 m²,1.200,35 m²,,,,aluguel
"SCN Quadra 04 Bloco B, ASA NORTE, BRASILIA",,Aluguel Sala 640 m²,46.000,640 m²,,,12 Vagas,aluguel
"SGCV Lote 13, PARK SUL, BRASILIA",,Aluguel Apartamento 35 m²,3.300,35 m²,1 Quarto,,1 Vaga,aluguel
"SQN 302 Bloco B, ASA NORTE, BRASILIA",,Aluguel Kitnet 30 m²,1.500,30 m²,,,,aluguel
"QC 7, JARDINS MANGUEIRAL, BRASILIA",,Aluguel Casa 68 m²,2.500,68 m²,2 Quartos,,2 Vagas,aluguel
"Condomínio Quintas do Sol, JARDIM BOTANICO, BRASILIA",,Aluguel Casa Condominio 300 m²,5.100,300 m²,4 Quartos,,2 Vagas,aluguel
"CLN 113 Bloco C, ASA NORTE, BRASILIA",,Aluguel Loja 30 m²,1.590,30 m²,,,,aluguel
"SHIS QI 3, LAGO SUL, BRASILIA",,Aluguel Prédio 1216 m²,55.000,1216 m²,,,15 Vagas,aluguel
"SQNW 302, NOROESTE, BRASILIA",,Aluguel Apartamento 73 m²,5.500,73 m²,2 Quartos,,1 Vaga,aluguel
"SCN Quadra 01 Bloco A, ASA NORTE, BRASILIA",,Aluguel Loja 725 m²,43.999,725 m²,,,8 Vagas,aluguel
"Quadra 52, JARDIM PEROLA DA BARRAGEM II, AGUAS LINDAS DE GOIAS",,Aluguel Galpão 400 m²,3.500,400 m²,,,,aluguel
"SCS Quadra 05 Bloco B Lote 74, ASA SUL, BRASILIA",,Aluguel Loja 30 m²,1.000,30 m²,,,,aluguel
"Rua 28, NORTE, AGUAS CLARAS",,Aluguel Apartamento 106 m²,4.500,106 m²,3 Quartos,,2 Vagas,aluguel
"Avenida Central Blocos 518/680, NUCLEO BANDEIRANTE, NUCLEO BANDEIRANTE",,Aluguel Loja 300 m²,4.500,300 m²,,,,aluguel
"Rodovia BR 020, SOBRADINHO, SOBRADINHO",,Aluguel Galpão 2800 m²,15.000,2800 m²,,,,aluguel
"SHN Quadra 2, ASA NORTE, BRASILIA",,Aluguel Garagem,500,,,,1 Vaga,aluguel
"SIAQuadra 4 C, SIA, SETOR INDUSTRIAL",,Aluguel Sala 232 m²,3.800,232 m²,,,,aluguel
"SCES Trecho 4, ASA SUL, BRASILIA",,Aluguel Apartamento 48 m²,3.900,48 m²,1 Quarto,,,aluguel
"CLS 405 Bloco A, ASA SUL, BRASILIA",,Aluguel Loja 220 m²,14.900,220 m²,,,,aluguel
"SCN Quadra 2, ASA NORTE, BRASILIA",,Aluguel Sala 279 m²,17.000,279 m²,,,,aluguel
"SCES Trecho 4, ASA SUL, BRASILIA",,Aluguel Apartamento 41 m²,3.000,41 m²,1 Quarto,,1 Vaga,aluguel
"Alameda Gravatá Quadra 301 Conjunto 20, NORTE, AGUAS CLARAS",,Aluguel Sala 114 m²,5.800,114 m²,,,,aluguel
"SQSW 100 Bloco G, SUDOESTE, BRASILIA",,Aluguel Apartamento 197 m²,11.000,197 m²,3 Quartos,,2 Vagas,aluguel
"Condomínio Estancia Quintas da Alvorada, JARDIM BOTANICO, BRASILIA",,Aluguel Casa Condominio 300 m²,6.900,300 m²,3 Quartos,,2 Vagas,aluguel
"SIA Trecho 3, SIA, SETOR INDUSTRIAL",,Aluguel Prédio 3968 m²,130.000,3968 m²,,,,aluguel
"SMPW Quadra 1 Conjunto 5, PARK WAY, BRASILIA",,Aluguel Casa Condominio 568 m²,17.000,568 m²,4 Quartos,,4 Vagas,aluguel
"SGAS 910, ASA SUL, BRASILIA",,Aluguel Sala 27 m²,720,27 m²,,,,aluguel
"SHIS QL 12, LAGO SUL, BRASILIA",,Aluguel Casa 982 m²,50.000,982 m²,6 Quartos,,,aluguel
"SCLRN 712 Bloco D, ASA NORTE, BRASILIA",,Aluguel Loja 280 m²,9.600,280 m²,,,,aluguel
"Quadra 210, SUL, AGUAS CLARAS",,Aluguel Apartamento 160 m²,6.200,160 m²,3 Quartos,,2 Vagas,aluguel
"SQS 411 Bloco D, ASA SUL, BRASILIA",,Aluguel Apartamento 55 m²,3.300,55 m²,2 Quartos,,,aluguel
"SRTVN Lote P, ASA NORTE, BRASILIA",,Aluguel Sala 30 m²,720,30 m²,,,1 Vaga,aluguel
"SCS Quadra 06 Bloco A Lote 110, ASA SUL, BRASILIA",,Aluguel Sala 54 m²,2.100,54 m²,,,,aluguel
"SQNW 104, NOROESTE, BRASILIA",,Aluguel Apartamento 160 m²,13.000,160 m²,4 Quartos,,4 Vagas,aluguel
"CCSW 1 Lote 4 Bloco B, SUDOESTE, BRASILIA",,Aluguel Kitnet 27 m²,2.000,27 m²,1 Quarto,,1 Vaga,aluguel
"SMPW Quadra 8, PARK WAY, BRASILIA",,Aluguel Casa Condominio 650 m²,11.000,650 m²,4 Quartos,,3 Vagas,aluguel
"Condomínio Estancia Quintas da Alvorada, JARDIM BOTANICO, BRASILIA",,Aluguel Casa Condominio 426 m²,8.000,426 m²,3 Quartos,,2 Vagas,aluguel
"CLN 407, ASA NORTE, BRASILIA",,Aluguel Loja 116 m²,16.500,116 m²,,,,aluguel
"Avenida das Castanheiras, NORTE, AGUAS CLARAS",,Aluguel Sala 140 m²,11.000,140 m²,,,,aluguel
"SCS Quadra 9, ASA SUL, BRASILIA",,Aluguel Sala 465 m²,48.854,465 m²,,,16 Vagas,aluguel
"SMC Quadra 5, SETOR DE MATERIAIS DE CONSTRUCAO, CEILANDIA",,Aluguel Lote/Terreno/Área 900 m²,2.000,900 m²,,,,aluguel
"CSB 2, TAGUATINGA SUL, TAGUATINGA",,Aluguel Apartamento 62 m²,1.600,62 m²,2 Quartos,,1 Vaga,aluguel
"SHIN QI 5, LAGO NORTE, BRASILIA",,Aluguel Casa 750 m²,20.000,750 m²,5 Quartos,,4 Vagas,aluguel
"SHIS QI 9/11 Bloco B, LAGO SUL, BRASILIA",,Aluguel Loja 300 m²,25.000,300 m²,,,,aluguel
"Ville de Montagne, JARDIM BOTANICO, BRASILIA",,Aluguel Casa 560 m²,9.500,560 m²,4 Quartos,,4 Vagas,aluguel
"SHIS QI 11, LAGO SUL, BRASILIA",,Aluguel Casa 280 m²,12.000,280 m²,3 Quartos,,1 Vaga,aluguel
"STRC Trecho 4 Conjunto A, SETOR INDUSTRIAL, GUARA",,Aluguel Galpão 1500 m²,49.000,1500 m²,,,15 Vagas,aluguel
"CRS 514 Bloco B, ASA SUL, BRASILIA",,Aluguel Loja 1500 m²,30.000,1500 m²,,,,aluguel
"Rua 31, SUL, AGUAS CLARAS",,Aluguel Apartamento 59 m²,3.500,59 m²,2 Quartos,,1 Vaga,aluguel
"Rua 36, NORTE, AGUAS CLARAS",,Aluguel Apartamento 60 m²,2.100,60 m²,1 Quarto,,1 Vaga,aluguel
"SHIS QI 25 Conjunto 10, LAGO SUL, BRASILIA",,Aluguel Casa 1320 m²,35.000,1320 m²,4 Quartos,,23 Vagas,aluguel
"Avenida Sucupira, RIACHO FUNDO, RIACHO FUNDO",,Aluguel Kitnet 35 m²,900,35 m²,1 Quarto,,,aluguel
"SHDB QL 32, LAGO SUL, BRASILIA",,Aluguel Casa 800 m²,20.000,800 m²,5 Quartos,,5 Vagas,aluguel
"CLN 404, ASA NORTE, BRASILIA",,Aluguel Apartamento 60 m²,3.500,60 m²,2 Quartos,,,aluguel
"SHIS QL 28, LAGO SUL, BRASILIA",,Aluguel Casa 550 m²,34.000,550 m²,4 Quartos,,3 Vagas,aluguel
"Setor D Sul, TAGUATINGA SUL, TAGUATINGA",,Aluguel Sala 231 m²,6.000,231 m²,,,,aluguel
"SMPW Quadra 17 Conjunto 2, PARK WAY, BRASILIA",,Aluguel Casa Condominio 846 m²,16.800,846 m²,5 Quartos,,6 Vagas,aluguel
"Condomínio Solar da Serra, JARDIM BOTANICO, BRASILIA",,Aluguel Casa 400 m²,8.700,400 m²,4 Quartos,,3 Vagas,aluguel
"SEPS 709/909, ASA SUL, BRASILIA",,Aluguel Sala 90 m²,6.000,90 m²,,,,aluguel
"SHIS QI 17 Conjunto 3, LAGO SUL, BRASILIA",,Aluguel Casa Condominio 400 m²,11.000,400 m²,5 Quartos,,6 Vagas,aluguel
"SQSW 305, SUDOESTE, BRASILIA",,Aluguel Apartamento 300 m²,20.000,300 m²,4 Quartos,,4 Vagas,aluguel
"SCRN 704/705 Bloco A, ASA NORTE, BRASILIA",,Aluguel Prédio 960 m²,25.000,960 m²,,,,aluguel
"Condomínio Solar de Brasília, JARDIM BOTANICO, BRASILIA",,Aluguel Casa Condominio 615 m²,17.000,615 m²,5 Quartos,,4 Vagas,aluguel
"SIG Quadra 4, SIG, BRASILIA",,Aluguel Sala 245 m²,20.825,245 m²,,,,aluguel
"SDN Lote Único, ASA NORTE, BRASILIA",,Aluguel Sala 70 m²,3.900,70 m²,,,,aluguel
"SDS Bloco L Lote 30, ASA SUL, BRASILIA",,Aluguel Loja 1000 m²,35.000,1000 m²,,,,aluguel
"Polo de Desenv Juscelino Kubitschek Trecho 5 Conjunto 9, PÓLO JK, SANTA MARIA",,Aluguel Lote/Terreno/Área 1600 m²,60.000,1600 m²,,,,aluguel
"SMDB Conjunto 12, LAGO SUL, BRASILIA",,Aluguel Casa Condominio 666 m²,31.500,666 m²,6 Quartos,,6 Vagas,aluguel
"Condomínio Le Jardin, JARDIM BOTANICO, BRASILIA",,Aluguel Casa Condominio 168 m²,6.990,168 m²,3 Quartos,,4 Vagas,aluguel
"Rua 25, SUL, AGUAS CLARAS",,Aluguel Apartamento 37 m²,1.950,37 m²,1 Quarto,,1 Vaga,aluguel
"Rua 22, NORTE, AGUAS CLARAS",,Aluguel Apartamento 100 m²,4.000,100 m²,3 Quartos,,1 Vaga,aluguel
"EPTG QE 2, QUADRAS ECONOMICAS LUCIO COSTA, GUARA",,Aluguel Apartamento 82 m²,3.600,82 m²,1 Quarto,,2 Vagas,aluguel
"SCS Quadra 04 Bloco A Lote 230, ASA SUL, BRASILIA",,Aluguel Sala 500 m²,5.000,500 m²,,,,aluguel
"Rua 3 Chacará 43, VICENTE PIRES, VICENTE PIRES",,Aluguel Casa Condominio 500 m²,12.000,500 m²,3 Quartos,,3 Vagas,aluguel
"QS 612 Conjunto B, SAMAMBAIA NORTE, SAMAMBAIA",,Aluguel Apartamento 70 m²,1.700,70 m²,3 Quartos,,1 Vaga,aluguel
"Rua 8, SUL, AGUAS CLARAS",,Aluguel Apartamento 72 m²,4.500,72 m²,2 Quartos,,1 Vaga,aluguel
"SEPS 712/912, ASA SUL, BRASILIA",,Aluguel Kitnet 27 m²,1.790,27 m²,1 Quarto,,1 Vaga,aluguel
"SCEN Trecho 1 Conjunto 36, ASA NORTE, BRASILIA",,Aluguel Apartamento 73 m²,7.390,73 m²,2 Quartos,,2 Vagas,aluguel
"SHIS QI 3, LAGO SUL, BRASILIA",,Aluguel Sala 70 m²,7.000,70 m²,,,,aluguel
"Rua 37, SUL, AGUAS CLARAS",,Aluguel Apartamento 56 m²,2.713,56 m²,2 Quartos,,1 Vaga,aluguel
"Rua ALECRIM, NORTE, AGUAS CLARAS",,Aluguel Apartamento 96 m²,4.300,96 m²,3 Quartos,,2 Vagas,aluguel
"CCSW 4, SUDOESTE, BRASILIA",,Aluguel Kitnet 30 m²,1.800,30 m²,1 Quarto,,,aluguel
"QNG Área Especial 01 Lote 02, TAGUATINGA NORTE, TAGUATINGA",,Aluguel Sala 35 m²,900,35 m²,,,,aluguel
"Rua COPAIBA, NORTE, AGUAS CLARAS",,Aluguel Apartamento 34 m²,1.900,34 m²,1 Quarto,,1 Vaga,aluguel
"SCS Quadra 02 Bloco C Lote 104, ASA SUL, BRASILIA",,Aluguel Sala 60 m²,900,60 m²,,,,aluguel
"Quadra 13, SOBRADINHO, SOBRADINHO",,Aluguel Loja 1000 m²,35.000,1000 m²,,,,aluguel
"SAUS Quadra 4, ASA SUL, BRASILIA",,Aluguel Sala 26 m²,1.300,26 m²,,,1 Vaga,aluguel
"SCEN Trecho 1, ASA NORTE, BRASILIA",,Aluguel Apartamento 100 m²,11.500,100 m²,3 Quartos,,2 Vagas,aluguel
"SCN Quadra 04 Bloco B, ASA NORTE, BRASILIA",,Aluguel Sala 348 m²,19.000,348 m²,,,7 Vagas,aluguel
"SIA Trecho 2, SIA, SETOR INDUSTRIAL",,Aluguel Loja 273 m²,18.000,273 m²,,,10 Vagas,aluguel
"Avenida Parque Águas Claras, NORTE, AGUAS CLARAS",,Aluguel Apartamento 72 m²,3.500,72 m²,3 Quartos,,1 Vaga,aluguel
"SCS Quadra 1, ASA SUL, BRASILIA",,Aluguel Sala 400 m²,21.000,400 m²,,,,aluguel
"SIG Quadra 2, SIG, BRASILIA",,Aluguel Sala 1800 m²,270.000,1800 m²,,,,aluguel
"Rua DAS CARNAUBAS, NORTE, AGUAS CLARAS",,Aluguel Apartamento 28 m²,1.500,28 m²,1 Quarto,,1 Vaga,aluguel
"QRSW 3, SUDOESTE, BRASILIA",,Aluguel Apartamento 60 m²,4.000,60 m²,2 Quartos,,,aluguel
"Quadra 1 Conjunto I, SETOR NORTE, GAMA",,Aluguel Sala 0 m²,3.000,0 m²,,,,aluguel
"SHN Quadra 1 Bloco A, ASA NORTE, BRASILIA",,Aluguel Garagem 12 m²,450,12 m²,,,2 Vagas,aluguel
"SGCV, PARK SUL, BRASILIA",,Aluguel Apartamento 30 m²,3.000,30 m²,1 Quarto,,1 Vaga,aluguel
"Condomínio Jardim Botânico VI, JARDIM BOTANICO, BRASILIA",,Aluguel Casa 450 m²,9.000,450 m²,4 Quartos,,4 Vagas,aluguel
"SCEN Trecho 1 Conjunto 36, ASA NORTE, BRASILIA",,Aluguel Apartamento 98 m²,11.950,98 m²,3 Quartos,,2 Vagas,aluguel
"SHIS QI 15, LAGO SUL, BRASILIA",,Aluguel Casa 1000 m²,59.000,1000 m²,6 Quartos,,25 Vagas,aluguel
"SMDB Conjunto 12, LAGO SUL, BRASILIA",,Aluguel Casa 469 m²,18.500,469 m²,4 Quartos,,,aluguel
"SCEN Trecho 1 Conjunto 36, ASA NORTE, BRASILIA",,Aluguel Apartamento 94 m²,9.900,94 m²,3 Quartos,,2 Vagas,aluguel
"Rua 37, SUL, AGUAS CLARAS",,Aluguel Apartamento 40 m²,1.500,40 m²,1 Quarto,,1 Vaga,aluguel
"QN 402 Conjunto H, SAMAMBAIA NORTE, SAMAMBAIA",,Aluguel Loja 100 m²,3.300,100 m²,,,,aluguel
"St Area Especiais Setor C Norte, TAGUATINGA NORTE, TAGUATINGA",,Aluguel Sala 28 m²,1.500,28 m²,,,1 Vaga,aluguel
"SHIS QL 12 Conjunto 1, LAGO SUL, BRASILIA",,Aluguel Casa 750 m²,60.000,750 m²,4 Quartos,,,aluguel
"SMDB Conjunto 16, LAGO SUL, BRASILIA",,Aluguel Casa Condominio 470 m²,26.000,470 m²,4 Quartos,,3 Vagas,aluguel
"Avenida Flamboyant, NORTE, AGUAS CLARAS",,Aluguel Loja 68 m²,3.800,68 m²,,,,aluguel
"CA 08, LAGO NORTE, BRASILIA",,Aluguel Apartamento 74 m²,4.300,74 m²,2 Quartos,,1 Vaga,aluguel
"SHS Quadra 02 Bloco J, ASA SUL, BRASILIA",,Aluguel Apartamento 49 m²,4.300,49 m²,1 Quarto,,,aluguel
"SMPW Quadra 15 Conjunto 3, PARK WAY, BRASILIA",,Aluguel Casa 600 m²,12.000,600 m²,7 Quartos,,4 Vagas,aluguel
"SHIS QL 12, LAGO SUL, BRASILIA",,Aluguel Casa 350 m²,20.000,350 m²,6 Quartos,,,aluguel
"SHN Quadra 1 Bloco A, ASA NORTE, BRASILIA",,Aluguel Sala 36 m²,2.600,36 m²,,,1 Vaga,aluguel
"AEN 19, SETOR NORTE, PLANALTINA",,Aluguel Loja 200 m²,12.500,200 m²,,,,aluguel
"QC 12 Rua I, JARDINS MANGUEIRAL, BRASILIA",,Aluguel Casa Condominio 110 m²,4.000,110 m²,2 Quartos,,2 Vagas,aluguel
"QNH Área Especial 4, TAGUATINGA NORTE, TAGUATINGA",,Aluguel Apartamento 30 m²,1.600,30 m²,2 Quartos,,,aluguel
"SCN Quadra 1 Bloco D, ASA NORTE, BRASILIA",,Aluguel Sala 255 m²,24.256,255 m²,,,4 Vagas,aluguel
"QS 406 Conjunto E, SAMAMBAIA NORTE, SAMAMBAIA",,Aluguel Loja 1500 m²,100,1500 m²,,,,aluguel
"SQS 210, ASA SUL, BRASILIA",,Aluguel Apartamento 222 m²,11.500,222 m²,4 Quartos,,1 Vaga,aluguel
"SCES Trecho 4, ASA SUL, BRASILIA",,Aluguel Apartamento 100 m²,6.500,100 m²,1 Quarto,,1 Vaga,aluguel
"CLN 103 Bloco A, ASA NORTE, BRASILIA",,Aluguel Loja 73 m²,4.000,73 m²,,,,aluguel
"Avenida Jacarandá, SUL, AGUAS CLARAS",,Aluguel Apartamento 56 m²,2.850,56 m²,2 Quartos,,1 Vaga,aluguel
"Região dos Lagos, CONDOMINIO RK, SOBRADINHO",,Aluguel Casa 1018 m²,30.000,1018 m²,4 Quartos,,4 Vagas,aluguel
"RODOVIA BR 0020 KM 12,5, ALTO DA BOA VISTA, SOBRADINHO",,Aluguel Casa Condominio 300 m²,10.500,300 m²,3 Quartos,,2 Vagas,aluguel
"Quadra 101, NORTE, AGUAS CLARAS",,Aluguel Apartamento 64 m²,2.600,64 m²,2 Quartos,,1 Vaga,aluguel
"SQN 314 Bloco H, ASA NORTE, BRASILIA",,Aluguel Apartamento 376 m²,13.500,376 m²,4 Quartos,,4 Vagas,aluguel
"CLS 412 Bloco C, ASA SUL, BRASILIA",,Aluguel Loja 140 m²,7.700,140 m²,,,,aluguel
"Rua 34, SUL, AGUAS CLARAS",,Aluguel Apartamento 46 m²,2.300,46 m²,1 Quarto,,1 Vaga,aluguel
"Rua 19, SUL, AGUAS CLARAS",,Aluguel Apartamento 55 m²,2.400,55 m²,1 Quarto,,1 Vaga,aluguel
"CLN 405 Bloco D, ASA NORTE, BRASILIA",,Aluguel Loja 28 m²,3.490,28 m²,,,,aluguel
"SHIN QI 10, LAGO NORTE, BRASILIA",,Aluguel Casa 480 m²,15.500,480 m²,4 Quartos,,3 Vagas,aluguel
"SMAS Trecho 1 C, PARK SUL, BRASILIA",,Aluguel Apartamento 75 m²,6.200,75 m²,2 Quartos,,2 Vagas,aluguel
"QMSW 5, SUDOESTE, BRASILIA",,Aluguel Kitnet 30 m²,1.550,30 m²,1 Quarto,,1 Vaga,aluguel
"C 03 Lote 08, TAGUATINGA CENTRO, TAGUATINGA",,Aluguel Apartamento 274 m²,3.500,274 m²,3 Quartos,,1 Vaga,aluguel
"SCRN 714/715, ASA NORTE, BRASILIA",,Aluguel Kitnet 31 m²,1.450,31 m²,1 Quarto,,,aluguel
"SCN Quadra 05 Bloco A, ASA NORTE, BRASILIA",,Aluguel Sala 34 m²,1.800,34 m²,,,,aluguel
"SHIS QL 8, LAGO SUL, BRASILIA",,Aluguel Casa 1062 m²,53.000,1062 m²,8 Quartos,,28 Vagas,aluguel
"Condomínio Solar da Serra, JARDIM BOTANICO, BRASILIA",,Aluguel Casa Condominio 250 m²,6.200,250 m²,3 Quartos,,2 Vagas,aluguel
"Rua MANACA, SUL, AGUAS CLARAS",,Aluguel Apartamento 32 m²,2.050,32 m²,1 Quarto,,1 Vaga,aluguel
"SAAN Quadra 3, SAAN, SETOR INDUSTRIAL",,Aluguel Ponto Comercial 2000 m²,20.000,2000 m²,,,,aluguel
"QN 1 Conjunto 30, RIACHO FUNDO, RIACHO FUNDO",,Aluguel Apartamento 30 m²,600,30 m²,1 Quarto,,,aluguel
"QMSW 5, SUDOESTE, BRASILIA",,Aluguel Kitnet 27 m²,2.200,27 m²,1 Quarto,,,aluguel
"QN 120 Conjunto 2, SAMAMBAIA SUL, SAMAMBAIA",,Aluguel Apartamento 42 m²,2.200,42 m²,2 Quartos,,1 Vaga,aluguel
"SHIS QL 2 Conjunto 2, LAGO SUL, BRASILIA",,Aluguel Casa 592 m²,15.000,592 m²,5 Quartos,,10 Vagas,aluguel
"QE 40 Conjunto Q, GUARA II, GUARA",,Aluguel Apartamento 47 m²,800,47 m²,1 Quarto,,,aluguel
"SQN 108, ASA NORTE, BRASILIA",,Aluguel Apartamento 126 m²,6.000,126 m²,3 Quartos,,1 Vaga,aluguel
"Rua 37, SUL, AGUAS CLARAS",,Aluguel Apartamento 32 m²,1.300,32 m²,1 Quarto,,1 Vaga,aluguel
"SIG Quadra 6, SIG, BRASILIA",,Aluguel Prédio 1590 m²,75.000,1590 m²,,,15 Vagas,aluguel
"QMSW 2, SUDOESTE, BRASILIA",,Aluguel Loja 360 m²,12.000,360 m²,,,,aluguel
"SQNW 311, NOROESTE, BRASILIA",,Aluguel Apartamento 84 m²,4.350,84 m²,1 Quarto,,2 Vagas,aluguel
"Condomínio Quinta Bela Vista, JARDIM BOTANICO, BRASILIA",,Aluguel Casa Condominio 800 m²,11.500,800 m²,4 Quartos,,7 Vagas,aluguel
"SQNW 304, NOROESTE, BRASILIA",,Aluguel Apartamento 165 m²,13.500,165 m²,3 Quartos,,3 Vagas,aluguel
"CLNW 4/5 Lote H, NOROESTE, BRASILIA",,Aluguel Loja 92 m²,8.500,92 m²,,,1 Vaga,aluguel
"CCSW 4 Lote 4 Bloco C, SUDOESTE, BRASILIA",,Aluguel Apartamento 28 m²,1.900,28 m²,1 Quarto,,1 Vaga,aluguel
"Condomínio Mansões Brauna, JARDIM BOTANICO, BRASILIA",,Aluguel Casa 700 m²,6.500,700 m²,3 Quartos,,4 Vagas,aluguel
"Avenida Parque Águas Claras, NORTE, AGUAS CLARAS",,Aluguel Apartamento 165 m²,8.800,165 m²,4 Quartos,,3 Vagas,aluguel
"QE 7 Bloco C, GUARA I, GUARA",,Aluguel Sala 30 m²,1.000,30 m²,,,,aluguel
"SHDB QL 32 Conjunto 20, LAGO SUL, BRASILIA",,Aluguel Casa Condominio 850 m²,16.000,850 m²,5 Quartos,,4 Vagas,aluguel
"SHIS QI 11, LAGO SUL, BRASILIA",,Aluguel Casa 750 m²,25.800,750 m²,5 Quartos,,6 Vagas,aluguel
"SQN 405, ASA NORTE, BRASILIA",,Aluguel Apartamento 80 m²,5.600,80 m²,3 Quartos,,,aluguel
"QI 12, SETOR INDUSTRIAL, TAGUATINGA",,Aluguel Apartamento 67 m²,3.000,67 m²,3 Quartos,,2 Vagas,aluguel
"SMDB Conjunto 4, LAGO SUL, BRASILIA",,Aluguel Casa 562 m²,25.000,562 m²,4 Quartos,,4 Vagas,aluguel
"CRS 511 Bloco A, ASA SUL, BRASILIA",,Aluguel Loja 400 m²,9.000,400 m²,,,,aluguel
"EPTG QE 2 Lote 2, QUADRAS ECONOMICAS LUCIO COSTA, GUARA",,Aluguel Apartamento 82 m²,565.000,82 m²,1 Quarto,,1 Vaga,aluguel
"SQSW 301 Bloco G, SUDOESTE, BRASILIA",,Aluguel Apartamento 72 m²,3.600,72 m²,2 Quartos,,1 Vaga,aluguel
"SGCV Lote 1, PARK SUL, BRASILIA",,Aluguel Apartamento 64 m²,5.900,64 m²,2 Quartos,,1 Vaga,aluguel
"Avenida Comercial, SETOR TRADICIONAL, SAO SEBASTIAO",,Aluguel Sala 26 m²,1.200,26 m²,,,,aluguel
"SCS Quadra 01 Bloco E Lote 30, ASA SUL, BRASILIA",,Aluguel Sala 30 m²,600,30 m²,,,,aluguel
"SRTVS, ASA SUL, BRASILIA",,Aluguel Sala 32 m²,2.700,32 m²,,,,aluguel
"SQNW 108 Bloco A, NOROESTE, BRASILIA",,Aluguel Apartamento 163 m²,10.900,163 m²,4 Quartos,,2 Vagas,aluguel
"SMLN ML Trecho 11, LAGO NORTE, BRASILIA",,Aluguel Casa Condominio 635 m²,20.000,635 m²,5 Quartos,,4 Vagas,aluguel
"SCN Quadra 01 Bloco C, ASA NORTE, BRASILIA",,Aluguel Sala 75 m²,4.884,75 m²,,,2 Vagas,aluguel
"Rua 1 Chacará 25/7, VICENTE PIRES, VICENTE PIRES",,Aluguel Casa Condominio 85 m²,2.600,85 m²,2 Quartos,,35 Vagas,aluguel
"SHIS QL 2 Conjunto 2, LAGO SUL, BRASILIA",,Aluguel Casa 404 m²,16.900,404 m²,4 Quartos,,6 Vagas,aluguel
"SQSW 101 Bloco J, SUDOESTE, BRASILIA",,Aluguel Apartamento 96 m²,3.800,96 m²,3 Quartos,,1 Vaga,aluguel
"SCLRN 710 Bloco F, ASA NORTE, BRASILIA",,Aluguel Loja 138 m²,2.800,138 m²,,,,aluguel
"SMPW Quadra 17, PARK WAY, BRASILIA",,Aluguel Casa 220 m²,4.900,220 m²,3 Quartos,,1 Vaga,aluguel
"SGCV Lote 27, PARK SUL, BRASILIA",,Aluguel Apartamento 300 m²,19.000,300 m²,4 Quartos,,3 Vagas,aluguel
"SBN Quadra 02 Bloco F Lote 12, ASA NORTE, BRASILIA",,Aluguel Sala 61 m²,2.000,61 m²,,,1 Vaga,aluguel
"SCIA Quadra 11 Conjunto 1, SCIA, SETOR INDUSTRIAL",,Aluguel Galpão 5280 m²,55.000,5280 m²,,,,aluguel
"Condomínio Ecológico Parque do Mirante, JARDIM BOTANICO, BRASILIA",,Aluguel Casa Condominio 450 m²,9.900,450 m²,4 Quartos,,4 Vagas,aluguel
"Condomínio Resid Jardins do Lago Quadra 1, JARDIM BOTANICO, BRASILIA",,Aluguel Casa Condominio 500 m²,25.000,500 m²,6 Quartos,,2 Vagas,aluguel
"Rua 24, NORTE, AGUAS CLARAS",,Aluguel Apartamento 87 m²,3.600,87 m²,3 Quartos,,1 Vaga,aluguel
"Rua 12, NORTE, AGUAS CLARAS",,Aluguel Sala 151 m²,9.500,151 m²,,,2 Vagas,aluguel
"QN 26 Conjunto 2, RIACHO FUNDO II, RIACHO FUNDO",,Aluguel Apartamento 52 m²,1.300,52 m²,2 Quartos,,1 Vaga,aluguel
"SMSE Conjunto 15, SAMAMBAIA SUL, SAMAMBAIA",,Aluguel Apartamento 70 m²,1.400,70 m²,3 Quartos,,1 Vaga,aluguel
"SQN 109, ASA NORTE, BRASILIA",,Aluguel Apartamento 110 m²,9.000,110 m²,3 Quartos,,2 Vagas,aluguel
"SQSW 302 Bloco I, SUDOESTE, BRASILIA",,Aluguel Apartamento 90 m²,3.800,90 m²,3 Quartos,,1 Vaga,aluguel
"SHN Quadra 1 Bloco D, ASA NORTE, BRASILIA",,Aluguel Sala 30 m²,1.650,30 m²,1 Quarto,,1 Vaga,aluguel
"SCN Quadra 01 Bloco C, ASA NORTE, BRASILIA",,Aluguel Sala 36 m²,2.485,36 m²,,,1 Vaga,aluguel
"Condomínio Estancia Quintas da Alvorada, JARDIM BOTANICO, BRASILIA",,Aluguel Casa Condominio 230 m²,7.700,230 m²,3 Quartos,,6 Vagas,aluguel
"Quadra 206, SUL, AGUAS CLARAS",,Aluguel Apartamento 90 m²,3.600,90 m²,2 Quartos,,2 Vagas,aluguel
"SEPS 705/905, ASA SUL, BRASILIA",,Aluguel Sala 20 m²,950,20 m²,,,,aluguel
"SQSW 302 Bloco C, SUDOESTE, BRASILIA",,Aluguel Apartamento 330 m²,16.000,330 m²,4 Quartos,,4 Vagas,aluguel
"SQSW 301, SUDOESTE, BRASILIA",,Aluguel Apartamento 188 m²,17.500,188 m²,4 Quartos,,3 Vagas,aluguel
