description,address,property_type,price,size,bedrooms,bathrooms,parking_spaces,contract_type
"SOF SUL Quadra 2 Conjunto A, SOF SUL, SETOR INDUSTRIAL",,loja,3500.0,85.0,,,,aluguel
"CLNW 4/5 Lote I, NOROESTE, BRASILIA",,loja,7900.0,80.0,,,1.0,aluguel
"Rua DAS PITANGUEIRAS, NORTE, AGUAS CLARAS",,loja,280.0,15.0,,,,aluguel
"QSD 4, TAGUATINGA SUL, TAGUATINGA",,loja,5000.0,395.0,,,,aluguel
"Quadra C 11, TAGUATINGA CENTRO, TAGUATINGA",,loja,5500.0,270.0,,,,aluguel
"SHCGN 710 Bloco E, ASA NORTE, BRASILIA",,loja,7200.0,150.0,,,5.0,aluguel
"Rua 4A Chacará 107, VICENTE PIRES, VICENTE PIRES",,loja,1750.0,90.0,,,,aluguel
"SCN Quadra 1 Bloco D, ASA NORTE, BRASILIA",,loja,8500.0,100.0,,,2.0,aluguel
"QNB 14, TAGUATINGA NORTE, TAGUATINGA",,loja,2500.0,45.0,,,,aluguel
"CLN 109 Bloco A, ASA NORTE, BRASILIA",,loja,5000.0,76.0,,,,aluguel
"QNG Área Especial 01 Lote 02, TAGUATINGA NORTE, TAGUATINGA",,loja,7500.0,85.0,,,,aluguel
"SCS Quadra 9, ASA SUL, BRASILIA",,loja,53827.0,133.0,,,,aluguel
"Rua 19, NORTE, AGUAS CLARAS",,loja,3900.0,45.0,,,,aluguel
"SCRN 706/707 Bloco A, ASA NORTE, BRASILIA",,loja,4000.0,240.0,,,,aluguel
"SRTVS Conjunto D Blocos A, B E C Lote 05, ASA SUL, BRASILIA",,loja,5300.0,140.0,,,,aluguel
"CRS 507 Bloco C, ASA SUL, BRASILIA",,loja,6300.0,60.0,,,,aluguel
"Rua 13, NORTE, AGUAS CLARAS",,loja,2500.0,34.0,,,,aluguel
"QND 47, TAGUATINGA NORTE, TAGUATINGA",,loja,6000.0,200.0,,,,aluguel
"QNM 17 Conjunto A, CEILANDIA SUL, CEILANDIA",,loja,1500.0,50.0,,,,aluguel
"QRSW 5, SUDOESTE, BRASILIA",,loja,7200.0,210.0,,,,aluguel
"Rodovia DF 150, GRANDE COLORADO, SOBRADINHO",,loja,1750.0,70.0,,,,aluguel
"Avenida Pau Brasil, SUL, AGUAS CLARAS",,loja,3500.0,66.0,,,,aluguel
"QR 518, SANTA MARIA, SANTA MARIA",,loja,7900.0,270.0,,,,aluguel
"QRSW 4, SUDOESTE, BRASILIA",,loja,2000.0,47.0,,,,aluguel
"CNB 4, TAGUATINGA NORTE, TAGUATINGA",,loja,28000.0,553.0,,,,aluguel
"Quadra Central Lote K, SOBRADINHO, SOBRADINHO",,loja,1550.0,27.0,,,,aluguel
"Chacará 36, COLONIA AGRICOLA SAMAMBAIA, VICENTE PIRES",,loja,3600.0,100.0,,,,aluguel
"QNE 1, TAGUATINGA NORTE, TAGUATINGA",,loja,3500.0,150.0,,,,aluguel
"CLN 208 Bloco B, ASA NORTE, BRASILIA",,loja,700.0,32.0,,,,aluguel
"Setor habitacional Vicente Pires, VICENTE PIRES, VICENTE PIRES",,loja,6900.0,69.0,,,,aluguel
"CNB 12, TAGUATINGA NORTE, TAGUATINGA",,loja,22500.0,786.0,,,11.0,aluguel
"CLN 202 Bloco D, ASA NORTE, BRASILIA",,loja,7000.0,189.0,,,,aluguel
"SDS Bloco L Lote 30, ASA SUL, BRASILIA",,loja,2060.0,25.0,,,,aluguel
"CLSW 105, SUDOESTE, BRASILIA",,loja,5500.0,47.0,,,,aluguel
"SCLRN 704 Bloco D, ASA NORTE, BRASILIA",,loja,5000.0,252.0,,,,aluguel
"QN 9A Conjunto 2, RIACHO FUNDO II, RIACHO FUNDO",,loja,15000.0,200.0,,,,aluguel
"Avenida Central Área Especial 19, NUCLEO BANDEIRANTE, NUCLEO BANDEIRANTE",,loja,35000.0,900.0,,,,aluguel
"QI 9 Bloco B, GUARA I, GUARA",,loja,1150.0,40.0,,,,aluguel
"CLS 315 Bloco D, ASA SUL, BRASILIA",,loja,5500.0,105.0,,,,aluguel
"QNA 35, TAGUATINGA NORTE, TAGUATINGA",,loja,1500.0,38.0,,,,aluguel
"CL 116 Bloco K, SANTA MARIA, SANTA MARIA",,loja,3900.0,73.0,,,,aluguel
"QND 35, TAGUATINGA NORTE, TAGUATINGA",,loja,3500.0,75.0,,,,aluguel
"CLS 203, ASA SUL, BRASILIA",,loja,7000.0,105.0,,,,aluguel
"Rua 36, SUL, AGUAS CLARAS",,loja,12000.0,395.0,,,,aluguel
"Rua 14, NORTE, AGUAS CLARAS",,loja,4900.0,84.0,,,,aluguel
"Rua 21, NOVO JARDIM ORIENTE, VALPARAISO DE GOIAS",,loja,16000.0,340.0,,,64.0,aluguel
"CLN 116 Bloco E, ASA NORTE, BRASILIA",,loja,25000.0,676.0,,,,aluguel
"SHLS, ASA SUL, BRASILIA",,loja,200.0,12.0,,,1.0,aluguel
"SCS Quadra 04 Bloco A Lote 209/217, ASA SUL, BRASILIA",,loja,16000.0,677.0,,,,aluguel
"Rua MANACA, SUL, AGUAS CLARAS",,loja,3000.0,120.0,,,,aluguel
"CL 116 Bloco K, SANTA MARIA, SANTA MARIA",,loja,1600.0,33.0,,,,aluguel
"SHIS QI 21 Bloco B, LAGO SUL, BRASILIA",,loja,11900.0,168.0,,,,aluguel
"Gemetris Chacará 1, COLONIA AGRICOLA SAMAMBAIA, VICENTE PIRES",,loja,7500.0,200.0,,,,aluguel
"CLNW 8/9 Lote D, NOROESTE, BRASILIA",,loja,5000.0,32.0,,,1.0,aluguel
"Rua 19, NORTE, AGUAS CLARAS",,loja,3000.0,36.0,,,,aluguel
"SAUS Quadra 5, ASA SUL, BRASILIA",,loja,6992.0,185.0,,,,aluguel
"Rua 13, NORTE, AGUAS CLARAS",,loja,5000.0,104.0,,,,aluguel
"CLN 314 Bloco B, ASA NORTE, BRASILIA",,loja,4500.0,60.0,,,,aluguel
"SHS Quadra 1, ASA SUL, BRASILIA",,loja,3000.0,97.0,,,,aluguel
"Rua 13, NORTE, AGUAS CLARAS",,loja,7000.0,118.0,,,,aluguel
"SEPN 505 Bloco A, ASA NORTE, BRASILIA",,loja,150000.0,1318.0,,,,aluguel
"Condomínio Quintas do Sol, JARDIM BOTANICO, BRASILIA",,loja,4200.0,100.0,,,10.0,aluguel
"SCLRN 712 Bloco B, ASA NORTE, BRASILIA",,loja,2500.0,140.0,,,,aluguel
"QNM 19 Conjunto A, CEILANDIA SUL, CEILANDIA",,loja,3000.0,80.0,,,,aluguel
"SCRN 704/705 Bloco F, ASA NORTE, BRASILIA",,loja,2300.0,94.0,,,,aluguel
"Quadra 25 Conjunto A, PARANOA, PARANOA",,loja,2200.0,83.0,,,,aluguel
"SQSW 102 Bloco B, SUDOESTE, BRASILIA",,loja,1800.0,25.0,,,,aluguel
"SHS Quadra 6 Conjunto A Bloco C, ASA SUL, BRASILIA",,loja,1000.0,33.0,,,,aluguel
"SCS Quadra 5, ASA SUL, BRASILIA",,loja,3500.0,41.0,,,,aluguel
"Rua 1, VICENTE PIRES, VICENTE PIRES",,loja,1800.0,17.0,,,,aluguel
"SCN Quadra 02 Bloco A, ASA NORTE, BRASILIA",,loja,2700.0,38.0,,,,aluguel
"CSC 9, TAGUATINGA SUL, TAGUATINGA",,loja,1600.0,97.0,,,,aluguel
"SCLRN 712 Bloco H, ASA NORTE, BRASILIA",,loja,2300.0,35.0,,,,aluguel
"Rua 19, NORTE, AGUAS CLARAS",,loja,40000.0,1000.0,,,10.0,aluguel
"QNM 24 Conjunto C, CEILANDIA NORTE, CEILANDIA",,loja,700.0,18.0,,,,aluguel
"Rua 24, NORTE, AGUAS CLARAS",,loja,6000.0,79.0,,,,aluguel
"QNE 15, TAGUATINGA NORTE, TAGUATINGA",,loja,2000.0,57.0,,,,aluguel
"SCES Trecho 1, ASA SUL, BRASILIA",,loja,10000.0,305.0,,,,aluguel
"CLSW 102 Bloco A, SUDOESTE, BRASILIA",,loja,6500.0,30.0,,,,aluguel
"QS 9 Rua 120, AREAL, AGUAS CLARAS",,loja,1500.0,54.0,,,1.0,aluguel
"CNB 6, TAGUATINGA NORTE, TAGUATINGA",,loja,12000.0,344.0,,,,aluguel
"QSE 15, TAGUATINGA SUL, TAGUATINGA",,loja,1700.0,46.0,,,,aluguel
"CLSW 301 Bloco B, SUDOESTE, BRASILIA",,loja,3000.0,28.0,,,,aluguel
"Quadra 1, SETOR INDUSTRIAL, GAMA",,loja,4500.0,68.0,,,,aluguel
"EQS 102/103, ASA SUL, BRASILIA",,loja,1000.0,26.0,,,,aluguel
"CLN 413 Bloco D, ASA NORTE, BRASILIA",,loja,700.0,21.0,,,,aluguel
"SHIS QI 19 Bloco C, LAGO SUL, BRASILIA",,loja,12000.0,183.0,,,,aluguel
"SCS Quadra 9, ASA SUL, BRASILIA",,loja,90000.0,336.0,,,10.0,aluguel
"SDS, ASA SUL, BRASILIA",,loja,20000.0,800.0,,,,aluguel
"Rua 5, VICENTE PIRES, VICENTE PIRES",,loja,19000.0,500.0,,,10.0,aluguel
"Área Especial 01, SETOR CENTRAL, GAMA",,loja,2000.0,100.0,,,,aluguel
"SQS 405 Bloco D, ASA SUL, BRASILIA",,loja,7500.0,105.0,,,,aluguel
"CNB 4, TAGUATINGA NORTE, TAGUATINGA",,loja,1900.0,130.0,,,,aluguel
"AR 07 Conjunto 01, SETOR OESTE, SOBRADINHO",,loja,3500.0,87.0,,,,aluguel
"SDN Lote Único, ASA NORTE, BRASILIA",,loja,2100.0,35.0,,,,aluguel
"Quadra C 8, TAGUATINGA CENTRO, TAGUATINGA",,loja,25000.0,200.0,,,,aluguel
"CSG 13, TAGUATINGA SUL, TAGUATINGA",,loja,3000.0,160.0,,,,aluguel
"QNM 17 Conjunto A, CEILANDIA SUL, CEILANDIA",,loja,3500.0,30.0,,,,aluguel
"SCS Quadra 9, ASA SUL, BRASILIA",,loja,92000.0,246.0,,,,aluguel
"Terceira Avenida Blocos 1420A/1550B, NUCLEO BANDEIRANTE, NUCLEO BANDEIRANTE",,loja,2100.0,146.0,,,,aluguel
"CSA 1, TAGUATINGA SUL, TAGUATINGA",,loja,3300.0,80.0,,,,aluguel
"SHS Quadra 06 Conjunto A Bloco D, ASA SUL, BRASILIA",,loja,22183.0,184.0,,,,aluguel
"QNM 17 Conjunto A, CEILANDIA SUL, CEILANDIA",,loja,800.0,20.0,,,,aluguel
"Quadra C 12, TAGUATINGA CENTRO, TAGUATINGA",,loja,1000.0,35.0,1.0,,,aluguel
"Rua 36, SUL, AGUAS CLARAS",,loja,10000.0,390.0,,,,aluguel
"SOF SUL Quadra 8 Conjunto A, SOF SUL, SETOR INDUSTRIAL",,loja,12000.0,400.0,,,,aluguel
"Quadra 25 Conjunto A, PARANOA, PARANOA",,loja,8000.0,180.0,,,,aluguel
"CLN 303 Bloco A, ASA NORTE, BRASILIA",,loja,4500.0,29.0,,,,aluguel
"QS 7 Rua 800, AREAL, AGUAS CLARAS",,loja,3600.0,250.0,,,,aluguel
"Chacará 52, COLONIA AGRICOLA SAMAMBAIA, VICENTE PIRES",,loja,2590.0,150.0,,,,aluguel
"CL 116 Bloco K, SANTA MARIA, SANTA MARIA",,loja,1600.0,36.0,,,,aluguel
"Alameda dos Eucaliptos Quadra 107, NORTE, AGUAS CLARAS",,loja,4500.0,50.0,,,,aluguel
"SES Quadra 13, SETOR ECONOMICO DE SOBRADINHO, SOBRADINHO",,loja,5500.0,520.0,,,,aluguel
"EQNO 13/15 Bloco C, CEILANDIA NORTE, CEILANDIA",,loja,3000.0,160.0,,,,aluguel
"SCLRN 705 Bloco H, ASA NORTE, BRASILIA",,loja,3500.0,240.0,,,,aluguel
"SIA Trecho 7, SIA, SETOR INDUSTRIAL",,loja,4800.0,160.0,,,,aluguel
"QE 44 Conjunto A, GUARA II, GUARA",,loja,1400.0,34.0,,,,aluguel
"CLN 316 Bloco E, ASA NORTE, BRASILIA",,loja,2000.0,25.0,,,,aluguel
"SOF SUL Quadra 15 Conjunto B, SOF SUL, SETOR INDUSTRIAL",,loja,35000.0,300.0,,,,aluguel
"CLS 410 Bloco C, ASA SUL, BRASILIA",,loja,11000.0,140.0,,,,aluguel
"CSA 2, TAGUATINGA SUL, TAGUATINGA",,loja,4500.0,200.0,,,,aluguel
"SCS Quadra 1, ASA SUL, BRASILIA",,loja,2000.0,60.0,,,,aluguel
"QND 50, TAGUATINGA NORTE, TAGUATINGA",,loja,32500.0,1260.0,,,10.0,aluguel
"QNM 2 Conjunto D, CEILANDIA NORTE, CEILANDIA",,loja,20000.0,665.0,,,,aluguel
"Praça Civica, SETOR OESTE, PLANALTINA DE GOIAS",,loja,8000.0,180.0,,,,aluguel
"SEPN 513 Bloco D Lote 04/05, ASA NORTE, BRASILIA",,loja,39000.0,437.0,,,,aluguel
"CSB 3, TAGUATINGA SUL, TAGUATINGA",,loja,12779.0,141.0,,,,aluguel
"CLN 104 Bloco B, ASA NORTE, BRASILIA",,loja,2400.0,68.0,,,,aluguel
"Rua 13, NORTE, AGUAS CLARAS",,loja,3000.0,45.0,,,,aluguel
"Rua 3, GUARA II, GUARA",,loja,15000.0,360.0,,,99.0,aluguel
"Rua 37, SUL, AGUAS CLARAS",,loja,3500.0,94.0,,,,aluguel
"Rua 13, NORTE, AGUAS CLARAS",,loja,2600.0,40.0,,,,aluguel
"CRNW 510 Bloco A Lote 2, NOROESTE, BRASILIA",,loja,9600.0,123.0,,,,aluguel
"SHS Quadra 06 Conjunto A Bloco D, ASA SUL, BRASILIA",,loja,10285.0,86.0,,,,aluguel
"SHS Quadra 6 Conjunto A Bloco C, ASA SUL, BRASILIA",,loja,25000.0,390.0,,,,aluguel
"SRTVS Bloco M Lote 12, ASA SUL, BRASILIA",,loja,12490.0,380.0,,,2.0,aluguel
"EQS 114/115, ASA SUL, BRASILIA",,loja,4500.0,70.0,,,,aluguel
"Rua 12, NORTE, AGUAS CLARAS",,loja,39900.0,512.0,,,,aluguel
"QS 7 Rua 820, AREAL, AGUAS CLARAS",,loja,38000.0,670.0,,,7.0,aluguel
"Rua 37, SUL, AGUAS CLARAS",,loja,4500.0,140.0,,,,aluguel
"CLN 307 Bloco A, ASA NORTE, BRASILIA",,loja,8000.0,78.0,,,,aluguel
"SEPN 516 Bloco E, ASA NORTE, BRASILIA",,loja,35000.0,147.0,,,,aluguel
"Rua 4, VICENTE PIRES, VICENTE PIRES",,loja,1550.0,33.0,,,,aluguel
"Rua 36, SUL, AGUAS CLARAS",,loja,4200.0,78.0,,,,aluguel
"St Area Especiais Setor C Norte, TAGUATINGA NORTE, TAGUATINGA",,loja,35000.0,454.0,,,,aluguel
"CLN 307 Bloco A, ASA NORTE, BRASILIA",,loja,25000.0,400.0,,,,aluguel
"SHS Quadra 6 Conjunto A Bloco C, ASA SUL, BRASILIA",,loja,25000.0,390.0,,,,aluguel
"SIG Quadra 3 Bloco C, SIG, BRASILIA",,loja,18000.0,384.0,,,,aluguel
"Quadra 302, SAMAMBAIA SUL, SAMAMBAIA",,loja,19000.0,368.0,,,,aluguel
"QR 103 Conjunto G, SANTA MARIA, SANTA MARIA",,loja,8000.0,200.0,,,,aluguel
"QSF 1 Área Especial 6/7/8, TAGUATINGA SUL, TAGUATINGA",,loja,4200.0,58.0,,,1.0,aluguel
"CLN 113 Bloco C, ASA NORTE, BRASILIA",,loja,1390.0,30.0,,,,aluguel
"Quadra 2 Conjunto A, SOBRADINHO, SOBRADINHO",,loja,18000.0,450.0,,,,aluguel
"CLN 116 Bloco H, ASA NORTE, BRASILIA",,loja,33000.0,187.0,,,,aluguel
"Avenida das Castanheiras, NORTE, AGUAS CLARAS",,loja,11000.0,140.0,,,,aluguel
"CLNW 4/5 Lote H, NOROESTE, BRASILIA",,loja,8500.0,92.0,,,1.0,aluguel
"Terceira Avenida Área Especial 2, NUCLEO BANDEIRANTE, NUCLEO BANDEIRANTE",,loja,1250.0,30.0,,,,aluguel
"SHIS QI 19 Bloco A, LAGO SUL, BRASILIA",,loja,10000.0,205.0,,,,aluguel
"SCIA Quadra 11, SCIA, SETOR INDUSTRIAL",,loja,3600.0,150.0,,,,aluguel
"Rua 37, NORTE, AGUAS CLARAS",,loja,6500.0,70.0,,,,aluguel
"Quadra Central Bloco 10, SOBRADINHO, SOBRADINHO",,loja,8000.0,280.0,,,,aluguel
"CLN 316 Bloco B, ASA NORTE, BRASILIA",,loja,2200.0,25.0,,,,aluguel
"CRNW 511 Bloco A Lote 1, NOROESTE, BRASILIA",,loja,9847.0,51.0,,,,aluguel
"SRTVN Quadra 701 Conjunto C, ASA NORTE, BRASILIA",,loja,6000.0,102.0,,,,aluguel
"CLN 407, ASA NORTE, BRASILIA",,loja,16500.0,116.0,,,,aluguel
"SDS Bloco L Lote 30, ASA SUL, BRASILIA",,loja,35000.0,1000.0,,,,aluguel
"SCS Quadra 05 Bloco B Lote 74, ASA SUL, BRASILIA",,loja,1000.0,30.0,,,,aluguel
"Avenida Contorno Área Especial 13, NUCLEO BANDEIRANTE, NUCLEO BANDEIRANTE",,loja,2600.0,135.0,,,,aluguel
"SCS Quadra 04 Bloco A Lote 57, ASA SUL, BRASILIA",,loja,20000.0,684.0,,,7.0,aluguel
"Rua 8, NORTE, AGUAS CLARAS",,loja,5300.0,37.0,,,,aluguel
"Rua DAS PITANGUEIRAS, SUL, AGUAS CLARAS",,loja,20000.0,319.0,,,,aluguel
"CLSW 105 Bloco C, SUDOESTE, BRASILIA",,loja,9900.0,72.0,,,,aluguel
"Quadra 13, SOBRADINHO, SOBRADINHO",,loja,35000.0,1000.0,,,,aluguel
"Rua 3, GUARA II, GUARA",,loja,5000.0,37.0,,,70.0,aluguel
"SMHN Quadra 2 Bloco A, ASA NORTE, BRASILIA",,loja,4200.0,53.0,,,,aluguel
"Rua 5, NORTE, AGUAS CLARAS",,loja,7000.0,180.0,,,,aluguel
"CLN 102 Bloco D, ASA NORTE, BRASILIA",,loja,7800.0,147.0,,,,aluguel
"CLS 405 Bloco A, ASA SUL, BRASILIA",,loja,14900.0,220.0,,,,aluguel
"SHN Quadra 02 Bloco J, ASA NORTE, BRASILIA",,loja,800.0,25.0,,,,aluguel
"Rua 24, NORTE, AGUAS CLARAS",,loja,5136.0,71.0,,,,aluguel
"SHIS QI 21 Bloco A, LAGO SUL, BRASILIA",,loja,3500.0,26.0,,,,aluguel
"CLN 303 Bloco A, ASA NORTE, BRASILIA",,loja,5750.0,50.0,,,,aluguel
"SHIS QI 26, LAGO SUL, BRASILIA",,loja,3500.0,64.0,,,,aluguel
"CLN 314 Bloco E, ASA NORTE, BRASILIA",,loja,3000.0,30.0,,,,aluguel
"Quadra 8 Comércio Local 29, SOBRADINHO, SOBRADINHO",,loja,1200.0,30.0,,,,aluguel
"CRS 514 Bloco B, ASA SUL, BRASILIA",,loja,30000.0,1500.0,,,,aluguel
"CLN 103 Bloco A, ASA NORTE, BRASILIA",,loja,3500.0,73.0,,,,aluguel
"SDS Bloco H, ASA SUL, BRASILIA",,loja,4800.0,208.0,,,,aluguel
"Quadra M 33, SANTA RITA, PLANALTINA DE GOIAS",,loja,3000.0,63.0,,,,aluguel
"CRS 511 Bloco A, ASA SUL, BRASILIA",,loja,9000.0,400.0,,,,aluguel
"Área Especial 4, GUARA II, GUARA",,loja,5300.0,60.0,,,,aluguel
"QNB 10, TAGUATINGA NORTE, TAGUATINGA",,loja,5000.0,110.0,,,,aluguel
"Avenida das Castanheiras, NORTE, AGUAS CLARAS",,loja,7500.0,123.0,,,,aluguel
"SCIA Quadra 15 Conjunto 6, SCIA, SETOR INDUSTRIAL",,loja,18500.0,1360.0,,,,aluguel
"SCS Quadra 6, ASA SUL, BRASILIA",,loja,23000.0,236.0,,,,aluguel
"QN 320 Conjunto 8, SAMAMBAIA SUL, SAMAMBAIA",,loja,3900.0,196.0,,,1.0,aluguel
"Avenida Central Blocos 518/680, NUCLEO BANDEIRANTE, NUCLEO BANDEIRANTE",,loja,4500.0,300.0,,,,aluguel
"SRTVS Conjunto L Lote 38, ASA SUL, BRASILIA",,loja,3500.0,100.0,,,,aluguel
"Rua 25, SUL, AGUAS CLARAS",,loja,4000.0,60.0,,,1.0,aluguel
"SHIS QI 9/11 Bloco M, LAGO SUL, BRASILIA",,loja,3800.0,40.0,,,,aluguel
"SHIS QI 7, LAGO SUL, BRASILIA",,loja,9900.0,153.0,,,,aluguel
"SCRN 710/711 Bloco E, ASA NORTE, BRASILIA",,loja,8000.0,320.0,,,,aluguel
"SCLRN 712 Bloco D, ASA NORTE, BRASILIA",,loja,9600.0,280.0,,,,aluguel
"SMDB Conjunto 12, LAGO SUL, BRASILIA",,loja,3000.0,60.0,,,,aluguel
"CLS 216 Bloco D, ASA SUL, BRASILIA",,loja,16000.0,340.0,,,,aluguel
"CLN 102 Bloco D, ASA NORTE, BRASILIA",,loja,2600.0,58.0,,,,aluguel
"QNM 2 Conjunto C, CEILANDIA NORTE, CEILANDIA",,loja,6900.0,160.0,,,,aluguel
"CLN 405 Bloco D, ASA NORTE, BRASILIA",,loja,3490.0,28.0,,,,aluguel
"Rua 3C Chacará 27C, VICENTE PIRES, VICENTE PIRES",,loja,3000.0,150.0,,,,aluguel
"SHN Quadra 02 Bloco H, ASA NORTE, BRASILIA",,loja,600.0,34.0,,,,aluguel
"QSF 1 Área Especial 6/7/8, TAGUATINGA SUL, TAGUATINGA",,loja,4800.0,67.0,,,,aluguel
"SDS Bloco F E G Lote Lote 41, ASA SUL, BRASILIA",,loja,9500.0,232.0,,,,aluguel
"Avenida Flamboyant, NORTE, AGUAS CLARAS",,loja,3800.0,68.0,,,,aluguel
"CLN 311 Bloco D, ASA NORTE, BRASILIA",,loja,690.0,30.0,,,,aluguel
"CNG 8, TAGUATINGA NORTE, TAGUATINGA",,loja,2000.0,50.0,,,,aluguel
"SIA Trecho 2, SIA, SETOR INDUSTRIAL",,loja,18000.0,273.0,,,10.0,aluguel
"SHN Quadra 02 Bloco H, ASA NORTE, BRASILIA",,loja,450.0,27.0,,,,aluguel
"SCN Quadra 02 Bloco A, ASA NORTE, BRASILIA",,loja,19187.0,365.0,,,4.0,aluguel
"CLS 412 Bloco C, ASA SUL, BRASILIA",,loja,6990.0,140.0,,,,aluguel
"SCN Quadra 04 Bloco B, ASA NORTE, BRASILIA",,loja,8000.0,358.0,,,,aluguel
"Avenida Parque Águas Claras, SUL, AGUAS CLARAS",,loja,5500.0,70.0,,,1.0,aluguel
"CLSW 102 Bloco C, SUDOESTE, BRASILIA",,loja,27000.0,214.0,,,,aluguel
"QE 7 Bloco H, GUARA I, GUARA",,loja,6280.0,45.0,,,,aluguel
"CLSW 300A, SUDOESTE, BRASILIA",,loja,3050.0,35.0,,,,aluguel
"QS 406 Conjunto E, SAMAMBAIA NORTE, SAMAMBAIA",,loja,100.0,1500.0,,,,aluguel
"SCS Quadra 03 Bloco A Lote 210, ASA SUL, BRASILIA",,loja,9000.0,640.0,,,,aluguel
"CRNW 511 Bloco A Lote 1, NOROESTE, BRASILIA",,loja,29888.0,157.0,,,,aluguel
"Rua 36, SUL, AGUAS CLARAS",,loja,8000.0,345.0,,,,aluguel
"QN 206, SAMAMBAIA NORTE, SAMAMBAIA",,loja,15000.0,200.0,,,,aluguel
"Rua MANACA, NORTE, AGUAS CLARAS",,loja,27500.0,304.0,,,,aluguel
"AEN 19, SETOR NORTE, PLANALTINA",,loja,12500.0,200.0,,,,aluguel
"Rua 7, METROPOLITANA, NUCLEO BANDEIRANTE",,loja,1200.0,84.0,,,,aluguel
"SHA Conjunto 1 Chacará 50, ARNIQUEIRA, AGUAS CLARAS",,loja,1300.0,50.0,,,,aluguel
"SCN Quadra 2, ASA NORTE, BRASILIA",,loja,7500.0,123.0,,,,aluguel
"SGCV, PARK SUL, BRASILIA",,loja,130000.0,4260.0,,,10.0,aluguel
"SHS Quadra 06 Conjunto A Bloco D, ASA SUL, BRASILIA",,loja,25000.0,389.0,,,,aluguel
"Rua 30, NORTE, AGUAS CLARAS",,loja,8000.0,98.0,,,,aluguel
"QI 4 Bloco A, GUARA I, GUARA",,loja,2500.0,98.0,,,,aluguel
"CLN 115, ASA NORTE, BRASILIA",,loja,2900.0,84.0,,,,aluguel
"QN 402 Conjunto H, SAMAMBAIA NORTE, SAMAMBAIA",,loja,3300.0,100.0,,,,aluguel
"Praça de Atividades 4, JARDINS MANGUEIRAL, BRASILIA",,loja,9000.0,106.0,,,,aluguel
"CSA 3, TAGUATINGA SUL, TAGUATINGA",,loja,3700.0,105.0,,,,aluguel
"SHIS QI 9/11 Bloco M, LAGO SUL, BRASILIA",,loja,4500.0,50.0,,,,aluguel
"Praça de Atividades 4, JARDINS MANGUEIRAL, BRASILIA",,loja,6600.0,98.0,,,,aluguel
"QNL 23 Conjunto J, TAGUATINGA NORTE, TAGUATINGA",,loja,7000.0,346.0,,,10.0,aluguel
"SCLRN 710 Bloco F, ASA NORTE, BRASILIA",,loja,2800.0,138.0,,,,aluguel
"SQSW 304, SUDOESTE, BRASILIA",,loja,75000.0,332.0,,,,aluguel
"CLS 306 Bloco B, ASA SUL, BRASILIA",,loja,16000.0,252.0,,,,aluguel
"QC 12 Praça 5, JARDINS MANGUEIRAL, BRASILIA",,loja,8300.0,220.0,,,,aluguel
"SAUS Quadra 03 Bloco C LoteS 2/3, ASA SUL, BRASILIA",,loja,3000.0,50.0,,,,aluguel
"QC 12 Praça 5, JARDINS MANGUEIRAL, BRASILIA",,loja,20300.0,220.0,,,,aluguel
"CLN 204 Bloco C, ASA NORTE, BRASILIA",,loja,19999.0,660.0,,,,aluguel
"SCN Quadra 01 Bloco C, ASA NORTE, BRASILIA",,loja,1876.0,33.0,,,,aluguel
"CLN 413 Bloco A, ASA NORTE, BRASILIA",,loja,650.0,26.0,,,,aluguel
"QNM 6 Conjunto O, CEILANDIA NORTE, CEILANDIA",,loja,8500.0,200.0,,,,aluguel
"CLSW 101 Bloco C, SUDOESTE, BRASILIA",,loja,2800.0,52.0,,,,aluguel
"Quadra 501 AE 1 Avenida Itapoa Parque, ITAPOA PARQUE, PARANOA",,loja,15000.0,756.0,,,,aluguel
"Avenida Monumental, SETOR MEIRELES, SANTA MARIA",,loja,3300.0,97.0,,,,aluguel
"CLN 410 Bloco A, ASA NORTE, BRASILIA",,loja,1700.0,30.0,,,,aluguel
"CLN 316 Bloco B, ASA NORTE, BRASILIA",,loja,2000.0,25.0,,,,aluguel
"Rua 13, NORTE, AGUAS CLARAS",,loja,1700.0,26.0,,,,aluguel
"QC 12 Praça 5, JARDINS MANGUEIRAL, BRASILIA",,loja,3800.0,106.0,,,,aluguel
"Rodovia BR 020, ALTO DA BOA VISTA, SOBRADINHO",,loja,2800.0,30.0,,,,aluguel
"Quadra 1 Conjunto 13, VICENTE PIRES, VICENTE PIRES",,loja,4000.0,60.0,,,20.0,aluguel
"SAUS Quadra 04 Lote 9/10, ASA SUL, BRASILIA",,loja,2900.0,26.0,,,,aluguel
"CSB 3, TAGUATINGA SUL, TAGUATINGA",,loja,1000.0,60.0,,,,aluguel
"CLN 113 Bloco D, ASA NORTE, BRASILIA",,loja,2400.0,55.0,,,,aluguel
"EQNM 17/19 Bloco E, CEILANDIA SUL, CEILANDIA",,loja,2400.0,140.0,,,,aluguel
"QC 12 Praça 5, JARDINS MANGUEIRAL, BRASILIA",,loja,28600.0,330.0,,,,aluguel
"SRTVS Conjunto D Blocos A, B E C Lote 05, ASA SUL, BRASILIA",,loja,3800.0,80.0,,,1.0,aluguel
"EQN 102/103, ASA NORTE, BRASILIA",,loja,57019.0,1267.0,,,,aluguel
"Rua 24, NORTE, AGUAS CLARAS",,loja,2300.0,62.0,,,,aluguel
