description,address,property_type,price,size,bedrooms,bathrooms,parking_spaces,contract_type
"QMSW 5 Lote 8, SUDOESTE, BRASILIA",,kitnet,2200.0,1.0,1.0,,1.0,aluguel
"QRSW 3, SUDOESTE, BRASILIA",,apartamento,4200.0,60.0,2.0,,,aluguel
"EQRSW 2/3, SUDOESTE, BRASILIA",,apartamento,2600.0,36.0,1.0,,1.0,aluguel
"Rua 19, NORTE, AGUAS CLARAS",,apartamento,1600.0,38.0,1.0,,1.0,aluguel
"SQNW 107 Bloco F, NOROESTE, BRASILIA",,apartamento,5900.0,77.0,2.0,,1.0,aluguel
"SGCV Lote 27, PARK SUL, BRASILIA",,apartamento,6000.0,75.0,2.0,,2.0,aluguel
"SQSW 102 Bloco I, SUDOESTE, BRASILIA",,apartamento,8800.0,182.0,4.0,,2.0,aluguel
"Avenida Parque Águas Claras, NORTE, AGUAS CLARAS",,apartamento,8300.0,164.0,4.0,,3.0,aluguel
"QN 1 Conjunto 30, RIACHO FUNDO, RIACHO FUNDO",,apartamento,600.0,30.0,1.0,,,aluguel
"Quadra 107, NORTE, AGUAS CLARAS",,apartamento,6500.0,139.0,4.0,,2.0,aluguel
"SQS 210, ASA SUL, BRASILIA",,apartamento,11500.0,222.0,4.0,,1.0,aluguel
"SQS 103 Bloco A, ASA SUL, BRASILIA",,apartamento,5600.0,149.0,2.0,,1.0,aluguel
"Rua 36, NORTE, AGUAS CLARAS",,apartamento,2100.0,60.0,1.0,,1.0,aluguel
"SQS 212 Bloco K, ASA SUL, BRASILIA",,apartamento,14500.0,194.0,3.0,,2.0,aluguel
"QC 10 Rua P, JARDINS MANGUEIRAL, BRASILIA",,apartamento,2000.0,48.0,2.0,,1.0,aluguel
"STN Bloco K, ASA NORTE, BRASILIA",,kitnet,1250.0,27.0,1.0,,1.0,aluguel
"SGAS 905, ASA SUL, BRASILIA",,kitnet,2100.0,27.0,1.0,,,aluguel
"Alameda das Acácias Quadra 107, NORTE, AGUAS CLARAS",,apartamento,6500.0,144.0,3.0,,2.0,aluguel
"Avenida Parque Águas Claras, NORTE, AGUAS CLARAS",,apartamento,3200.0,72.0,3.0,,1.0,aluguel
"SGAS 905, ASA SUL, BRASILIA",,kitnet,2100.0,29.0,,,1.0,aluguel
"SCES Trecho 4, ASA SUL, BRASILIA",,apartamento,3700.0,48.0,1.0,,,aluguel
"SGCV Lote 19, PARK SUL, BRASILIA",,apartamento,10500.0,154.0,4.0,,3.0,aluguel
"CLN 411 Bloco E, ASA NORTE, BRASILIA",,kitnet,3000.0,41.0,1.0,,,aluguel
"Quadra 208, SUL, AGUAS CLARAS",,apartamento,5900.0,95.0,3.0,,2.0,aluguel
"QMSW 5, SUDOESTE, BRASILIA",,kitnet,2200.0,27.0,1.0,,,aluguel
"SQS 408 Bloco F, ASA SUL, BRASILIA",,apartamento,3100.0,43.0,1.0,,,aluguel
"SGCV, PARK SUL, BRASILIA",,apartamento,3000.0,30.0,1.0,,1.0,aluguel
"Quadra 301 Conjunto 1, SAMAMBAIA SUL, SAMAMBAIA",,apartamento,1500.0,62.0,2.0,,1.0,aluguel
"SQSW 305, SUDOESTE, BRASILIA",,apartamento,20000.0,300.0,4.0,,4.0,aluguel
"Rua 36, SUL, AGUAS CLARAS",,apartamento,2000.0,25.0,1.0,,,aluguel
"SMAS Trecho 1 C, PARK SUL, BRASILIA",,apartamento,5200.0,73.0,2.0,,2.0,aluguel
"Rua COPAIBA, NORTE, AGUAS CLARAS",,apartamento,2800.0,34.0,1.0,,,aluguel
"SCEN Trecho 1, ASA NORTE, BRASILIA",,apartamento,10500.0,71.0,2.0,,2.0,aluguel
"SCES Trecho 4, ASA SUL, BRASILIA",,apartamento,7200.0,51.0,1.0,,1.0,aluguel
"SCEN Trecho 1 Conjunto 36, ASA NORTE, BRASILIA",,apartamento,12000.0,134.0,4.0,,3.0,aluguel
"QE 40, GUARA II, GUARA",,apartamento,1500.0,38.0,2.0,,,aluguel
"Rua 14, SUL, AGUAS CLARAS",,apartamento,2500.0,61.0,2.0,,1.0,aluguel
"CA 08, LAGO NORTE, BRASILIA",,apartamento,4000.0,74.0,2.0,,1.0,aluguel
"SEPS 712/912, ASA SUL, BRASILIA",,kitnet,1900.0,25.0,1.0,,,aluguel
"SES Quadra 1, SETOR ECONOMICO DE SOBRADINHO, SOBRADINHO",,apartamento,1100.0,80.0,2.0,,,aluguel
"Quadra 106, NORTE, AGUAS CLARAS",,apartamento,3500.0,65.0,2.0,,1.0,aluguel
"Quadra 201, SUL, AGUAS CLARAS",,apartamento,1950.0,45.0,1.0,,1.0,aluguel
"Rua MANACA, SUL, AGUAS CLARAS",,apartamento,1900.0,32.0,1.0,,1.0,aluguel
"Rua DAS CARNAUBAS, NORTE, AGUAS CLARAS",,apartamento,3400.0,63.0,2.0,,,aluguel
"SQS 116 Bloco J, ASA SUL, BRASILIA",,apartamento,3900.0,66.0,2.0,,1.0,aluguel
"CA 02, LAGO NORTE, BRASILIA",,apartamento,4000.0,57.0,2.0,,1.0,aluguel
"Rua 21, NORTE, AGUAS CLARAS",,apartamento,4900.0,244.0,3.0,,3.0,aluguel
"SCEN Trecho 1, ASA NORTE, BRASILIA",,apartamento,11400.0,100.0,3.0,,2.0,aluguel
"QC 1, JARDINS MANGUEIRAL, BRASILIA",,apartamento,2300.0,48.0,2.0,,1.0,aluguel
"QE 5, GUARA I, GUARA",,apartamento,2300.0,39.0,1.0,,1.0,aluguel
"SQN 108, ASA NORTE, BRASILIA",,apartamento,6000.0,126.0,3.0,,1.0,aluguel
"QMSW 5 Lote 2 Bloco B, SUDOESTE, BRASILIA",,kitnet,3200.0,26.0,1.0,,1.0,aluguel
"SQNW 307 Bloco I, NOROESTE, BRASILIA",,apartamento,5800.0,74.0,2.0,,2.0,aluguel
"SQS 308 Bloco C, ASA SUL, BRASILIA",,apartamento,7250.0,154.0,3.0,,1.0,aluguel
"QN 120 Conjunto 2, SAMAMBAIA SUL, SAMAMBAIA",,apartamento,2200.0,42.0,2.0,,1.0,aluguel
"SQS 211 Bloco D, ASA SUL, BRASILIA",,apartamento,6000.0,169.0,4.0,,1.0,aluguel
"SQSW 504 Bloco I, SUDOESTE, BRASILIA",,apartamento,4700.0,81.0,2.0,,1.0,aluguel
"SGCV Lote 13, PARK SUL, BRASILIA",,apartamento,3100.0,35.0,1.0,,1.0,aluguel
"SQS 108, ASA SUL, BRASILIA",,apartamento,5600.0,88.0,2.0,,,aluguel
"QI 12, SETOR INDUSTRIAL, TAGUATINGA",,apartamento,3000.0,67.0,3.0,,2.0,aluguel
