description,address,type,price,size,bedrooms,bathrooms,parking_spaces,modo
"Rua 13, NORTE, AGUAS CLARAS",,Aluguel Apartamento 75 m²,3.100,75 m²,3 Quartos,,1 Vaga,aluguel
"CLS 216 Bloco D, ASA SUL, BRASILIA",,Aluguel Loja 340 m²,16.000,340 m²,,,,aluguel
"SMDB Conjunto 12, LAGO SUL, BRASILIA",,Aluguel Casa 469 m²,18.500,469 m²,4 Quartos,,,aluguel
"Condomínio Estancia Quintas da Alvorada, JARDIM BOTANICO, BRASILIA",,Aluguel Casa Condominio 300 m²,6.900,300 m²,3 Quartos,,2 Vagas,aluguel
"SHN Quadra 02 Bloco H, ASA NORTE, BRASILIA",,Aluguel Loja 34 m²,600,34 m²,,,,aluguel
"SHLS, ASA SUL, BRASILIA",,Aluguel Sala 27 m²,1.600,27 m²,,,,aluguel
"SQSW 300 Bloco O, SUDOESTE, BRASILIA",,Aluguel Apartamento 115 m²,7.700,115 m²,3 Quartos,,1 Vaga,aluguel
"SRTVS Bloco M Lote 12, ASA SUL, BRASILIA",,Aluguel Loja 380 m²,12.490,380 m²,,,2 Vagas,aluguel
"SHS Quadra 6 Conjunto A Bloco C, ASA SUL, BRASILIA",,Aluguel Loja 390 m²,25.000,390 m²,,,,aluguel
"SHS Quadra 06 Conjunto A Bloco D, ASA SUL, BRASILIA",,Aluguel Loja 86 m²,10.285,86 m²,,,,aluguel
"SCS Quadra 08 Bloco B LoteS 50/60, ASA SUL, BRASILIA",,Aluguel Sala 1261 m²,63.065,1261 m²,,,,aluguel
"SMDB Conjunto 18, LAGO SUL, BRASILIA",,Aluguel Casa 600 m²,39.000,600 m²,5 Quartos,,2 Vagas,aluguel
"Rua 12, NORTE, AGUAS CLARAS",,Aluguel Loja 512 m²,39.900,512 m²,,,,aluguel
"EQS 114/115, ASA SUL, BRASILIA",,Aluguel Loja 70 m²,4.500,70 m²,,,,aluguel
"SQS 303 Bloco F, ASA SUL, BRASILIA",,Aluguel Apartamento 170 m²,12.500,170 m²,4 Quartos,,1 Vaga,aluguel
"SQSW 300 Bloco A, SUDOESTE, BRASILIA",,Aluguel Apartamento 560 m²,32.000,560 m²,4 Quartos,,4 Vagas,aluguel
"Rua 12 Chacará 145, VICENTE PIRES, VICENTE PIRES",,Aluguel Casa Condominio 530 m²,8.500,530 m²,4 Quartos,,13 Vagas,aluguel
"Ville de Montagne, JARDIM BOTANICO, BRASILIA",,Aluguel Casa Condominio 610 m²,19.500,610 m²,4 Quartos,,2 Vagas,aluguel
"SHIS QI 11 Conjunto 3, LAGO SUL, BRASILIA",,Aluguel Casa 750 m²,31.000,750 m²,5 Quartos,,6 Vagas,aluguel
"SQSW 500, SUDOESTE, BRASILIA",,Aluguel Apartamento 178 m²,26.000,178 m²,4 Quartos,,3 Vagas,aluguel
"Rua 8, SUL, AGUAS CLARAS",,Aluguel Apartamento 97 m²,3.600,97 m²,3 Quartos,,1 Vaga,aluguel
"Condomínio Morada de Deus, JARDIM BOTANICO, BRASILIA",,Aluguel Casa Condominio 500 m²,8.000,500 m²,5 Quartos,,4 Vagas,aluguel
"SHTN Trecho 2 Lote 3, ASA NORTE, BRASILIA",,Aluguel Apartamento 31 m²,3.150,31 m²,1 Quarto,,,aluguel
"Rodovia DF 001 Altiplano Leste, ALTIPLANO LESTE, BRASILIA",,Aluguel Casa 500 m²,7.800,500 m²,4 Quartos,,4 Vagas,aluguel
"Rua 33, NORTE, AGUAS CLARAS",,Aluguel Apartamento 164 m²,7.000,164 m²,3 Quartos,,2 Vagas,aluguel
"SQS 312 Bloco J, ASA SUL, BRASILIA",,Aluguel Apartamento 320 m²,15.500,320 m²,4 Quartos,,2 Vagas,aluguel
"CCSW 1, SUDOESTE, BRASILIA",,Aluguel Kitnet 26 m²,5.100,26 m²,1 Quarto,,1 Vaga,aluguel
"SHIN QI 5 Conjunto 7, LAGO NORTE, BRASILIA",,Aluguel Casa 750 m²,20.000,750 m²,5 Quartos,,4 Vagas,aluguel
"Polo de Desenv Juscelino Kubitschek Trecho 6 Conjunto 5, PÓLO JK, SANTA MARIA",,Aluguel Galpão 1600 m²,60.000,1600 m²,,,,aluguel
"SCN Quadra 02 Bloco D, ASA NORTE, BRASILIA",,Aluguel Sala 27 m²,1.927,27 m²,,,1 Vaga,aluguel
"CLN 403 Bloco E, ASA NORTE, BRASILIA",,Aluguel Apartamento 90 m²,4.500,90 m²,3 Quartos,,,aluguel
"SHTN Trecho 1, ASA NORTE, BRASILIA",,Aluguel Apartamento 60 m²,6.500,60 m²,2 Quartos,,2 Vagas,aluguel
"Rua 14, NORTE, AGUAS CLARAS",,Aluguel Apartamento 178 m²,7.000,178 m²,4 Quartos,,3 Vagas,aluguel
"SHIS QL 28 Conjunto 4, LAGO SUL, BRASILIA",,Aluguel Casa 447 m²,19.600,447 m²,4 Quartos,,2 Vagas,aluguel
"QE 11, GUARA I, GUARA",,Aluguel Sala 374 m²,26.245,374 m²,,,72 Vagas,aluguel
"SEPN 516 Bloco E, ASA NORTE, BRASILIA",,Aluguel Sala 696 m²,24.379,696 m²,,,9 Vagas,aluguel
"Condomínio Jardim Botânico I, JARDIM BOTANICO, BRASILIA",,Aluguel Apartamento 25 m²,2.300,25 m²,1 Quarto,,,aluguel
"Condomínio São Francisco II, JARDIM BOTANICO, BRASILIA",,Aluguel Casa 344 m²,4.400,344 m²,3 Quartos,,6 Vagas,aluguel
"SQN 116 Bloco B, ASA NORTE, BRASILIA",,Aluguel Apartamento 339 m²,20.000,339 m²,3 Quartos,,3 Vagas,aluguel
"Área Especial para Indústria 11 Lote 14, SOBRADINHO, SOBRADINHO",,Aluguel Galpão 2000 m²,25.000,2000 m²,,,,aluguel
"SHS Quadra 6 Conjunto A Bloco C, ASA SUL, BRASILIA",,Aluguel Loja 390 m²,25.000,390 m²,,,,aluguel
"SCS Quadra 6, ASA SUL, BRASILIA",,Aluguel Sala 596 m²,40.000,596 m²,,,2 Vagas,aluguel
"CCSW 1, SUDOESTE, BRASILIA",,Aluguel Apartamento 26 m²,5.000,26 m²,1 Quarto,,1 Vaga,aluguel
"SGCV Lote 13, PARK SUL, BRASILIA",,Aluguel Kitnet 27 m²,3.000,27 m²,1 Quarto,,1 Vaga,aluguel
"EQS 114/115, ASA SUL, BRASILIA",,Aluguel Sala 27 m²,2.500,27 m²,,,,aluguel
"Condomínio Jardim América, SOBRADINHO, SOBRADINHO",,Aluguel Casa 170 m²,5.000,170 m²,3 Quartos,,5 Vagas,aluguel
"CLNW 10/11 Lote F, NOROESTE, BRASILIA",,Aluguel Apartamento 50 m²,3.014,50 m²,1 Quarto,,1 Vaga,aluguel
"SEPN 516 Bloco E, ASA NORTE, BRASILIA",,Aluguel Sala 372 m²,21.000,372 m²,,,6 Vagas,aluguel
"Condomínio Estancia Quintas da Alvorada, JARDIM BOTANICO, BRASILIA",,Aluguel Casa Condominio 520 m²,8.900,520 m²,6 Quartos,,5 Vagas,aluguel
"SGCV, PARK SUL, BRASILIA",,Aluguel Apartamento 347 m²,25.000,347 m²,4 Quartos,,4 Vagas,aluguel
"CSG 3, TAGUATINGA SUL, TAGUATINGA",,Aluguel Apartamento 74 m²,2.000,74 m²,1 Quarto,,1 Vaga,aluguel
"SEPN 516 Bloco B, ASA NORTE, BRASILIA",,Aluguel Sala 472 m²,26.173,472 m²,,,,aluguel
"CCSW 1, SUDOESTE, BRASILIA",,Aluguel Apartamento 26 m²,4.900,26 m²,1 Quarto,,1 Vaga,aluguel
"SHA Conjunto 6 Chacará 5, ARNIQUEIRA, AGUAS CLARAS",,Aluguel Casa 400 m²,6.000,400 m²,4 Quartos,,2 Vagas,aluguel
"SHIN QL 1 Conjunto 1, LAGO NORTE, BRASILIA",,Aluguel Casa 285 m²,13.000,285 m²,3 Quartos,,4 Vagas,aluguel
"SCES Trecho 4, ASA SUL, BRASILIA",,Aluguel Apartamento 42 m²,4.500,42 m²,1 Quarto,,1 Vaga,aluguel
"Avenida Parque Águas Claras, NORTE, AGUAS CLARAS",,Aluguel Apartamento 162 m²,10.150,162 m²,4 Quartos,,3 Vagas,aluguel
"Quadra 2, SETOR DE INDUSTRIAS BERNARDO SAYAO, NUCLEO BANDEIRANTE",,Aluguel Prédio 1700 m²,50.000,1700 m²,,,25 Vagas,aluguel
"Condominio Lago Sul, JARDIM BOTANICO, BRASILIA",,Aluguel Casa 320 m²,5.000,320 m²,4 Quartos,,4 Vagas,aluguel
"SBS Quadra 02 Bloco S Lote 01, ASA SUL, BRASILIA",,Aluguel Sala 255 m²,12.000,255 m²,,,2 Vagas,aluguel
"SHCGN 703 Bloco R, ASA NORTE, BRASILIA",,Aluguel Apartamento 83 m²,5.500,83 m²,1 Quarto,,2 Vagas,aluguel
"SQNW 303 Bloco F, NOROESTE, BRASILIA",,Aluguel Apartamento 201 m²,15.900,201 m²,4 Quartos,,4 Vagas,aluguel
"QS 107 Conjunto 8, SAMAMBAIA SUL, SAMAMBAIA",,Aluguel Prédio 400 m²,100,400 m²,,,,aluguel
"Rua 36, SUL, AGUAS CLARAS",,Aluguel Loja 78 m²,4.200,78 m²,,,,aluguel
"Ville de Montagne, JARDIM BOTANICO, BRASILIA",,Aluguel Casa 470 m²,13.700,470 m²,4 Quartos,,4 Vagas,aluguel
"Condomínio Morada de Deus, JARDIM BOTANICO, BRASILIA",,Aluguel Casa 280 m²,7.000,280 m²,3 Quartos,,2 Vagas,aluguel
"CLNW 10/11, NOROESTE, BRASILIA",,Aluguel Kitnet 33 m²,3.200,33 m²,1 Quarto,,1 Vaga,aluguel
"SHIS QI 3 Conjunto 2, LAGO SUL, BRASILIA",,Aluguel Casa 400 m²,29.500,400 m²,4 Quartos,,6 Vagas,aluguel
"CLSW 300A Bloco 2, SUDOESTE, BRASILIA",,Aluguel Apartamento 69 m²,2.200,69 m²,1 Quarto,,1 Vaga,aluguel
"QC 6 Conjunto 10, RIACHO FUNDO II, RIACHO FUNDO",,Aluguel Casa 80 m²,1.300,80 m²,3 Quartos,,1 Vaga,aluguel
"COLONIA AGRICOLA SAMAMBAIA, COLONIA AGRICOLA SAMAMBAIA, VICENTE PIRES",,Aluguel Casa 80 m²,1.600,80 m²,2 Quartos,,2 Vagas,aluguel
"Avenida Jacarandá, SUL, AGUAS CLARAS",,Aluguel Apartamento 56 m²,2.850,56 m²,2 Quartos,,1 Vaga,aluguel
"SHA Conjunto 6 Chacará 3, ARNIQUEIRA, AGUAS CLARAS",,Aluguel Casa Condominio 250 m²,5.450,250 m²,4 Quartos,,3 Vagas,aluguel
"Rua DAS CARNAUBAS, NORTE, AGUAS CLARAS",,Aluguel Apartamento 28 m²,1.500,28 m²,1 Quarto,,1 Vaga,aluguel
"SIG Quadra 4, SIG, BRASILIA",,Aluguel Sala 41 m²,1.600,41 m²,,,1 Vaga,aluguel
"CSB 03 Lote 04, TAGUATINGA SUL, TAGUATINGA",,Aluguel Loja 35 m²,1.800,35 m²,,,,aluguel
"SHIS QI 23 Conjunto 1, LAGO SUL, BRASILIA",,Aluguel Casa 650 m²,10.500,650 m²,4 Quartos,,2 Vagas,aluguel
"Rua 37, SUL, AGUAS CLARAS",,Aluguel Apartamento 32 m²,1.300,32 m²,1 Quarto,,1 Vaga,aluguel
"SRTVN, ASA NORTE, BRASILIA",,Aluguel Sala 32 m²,990,32 m²,,,,aluguel
"SGAS 910, ASA SUL, BRASILIA",,Aluguel Sala 27 m²,720,27 m²,,,,aluguel
"SEPS 712/912, ASA SUL, BRASILIA",,Aluguel Kitnet 27 m²,1.790,27 m²,1 Quarto,,1 Vaga,aluguel
"SAUS Quadra 05 Bloco N Lote 02, ASA SUL, BRASILIA",,Aluguel Sala 25 m²,750,25 m²,,,,aluguel
"Condomínio Prive Morada Sul Etapa C, JARDIM BOTANICO, BRASILIA",,Aluguel Casa Condominio 250 m²,8.500,250 m²,4 Quartos,,2 Vagas,aluguel
"CRNW 510 Bloco A Lote 4, NOROESTE, BRASILIA",,Aluguel Apartamento 39 m²,2.500,39 m²,1 Quarto,,1 Vaga,aluguel
"QSA 1, TAGUATINGA SUL, TAGUATINGA",,Aluguel Sala 320 m²,11.500,320 m²,,,,aluguel
"QI 12, SETOR INDUSTRIAL, TAGUATINGA",,Aluguel Apartamento 67 m²,3.000,67 m²,3 Quartos,,2 Vagas,aluguel
"CLS 211, ASA SUL, BRASILIA",,Aluguel Loja 140 m²,10.000,140 m²,,,,aluguel
"SMPW Quadra 17 Conjunto 13, PARK WAY, BRASILIA",,Aluguel Casa Condominio 380 m²,9.000,380 m²,4 Quartos,,2 Vagas,aluguel
"Área Especial 4, GUARA II, GUARA",,Aluguel Apartamento 91 m²,6.600,91 m²,2 Quartos,,2 Vagas,aluguel
"SHS Quadra 06 Conjunto A Bloco F, ASA SUL, BRASILIA",,Aluguel Hotel Flat 42 m²,2.900,42 m²,1 Quarto,,,aluguel
