description,address,property_type,price,size,bedrooms,bathrooms,parking_spaces,contract_type,latitude,longitude
"SCES Trecho 4, ASA SUL, BRASILIA",,apartamento,4000.0,48.0,1.0,,1.0,aluguel,-15.8253954,-47.8868277
"Rua DAS CARNAUBAS, NORTE, AGUAS CLARAS",,apartamento,1500.0,28.0,1.0,,1.0,aluguel,-15.8297333,-48.0179572
"SQNW 108 Bloco A, NOROESTE, BRASILIA",,apartamento,10900.0,163.0,4.0,,2.0,aluguel,-15.750479,-47.9097874
"SCLRN 703 Bloco H, ASA NORTE, BRASILIA",,apartamento,4900.0,230.0,1.0,,1.0,aluguel,,
"Trecho 1 Lote C , SETOR INDUSTRIAL, GUARA",,apartamento,6000.0,104.0,3.0,,2.0,aluguel,-15.8020618,-47.9917176
"QSF 1, TAGUATINGA SUL, TAGUATINGA",,apartamento,2500.0,61.0,2.0,,1.0,aluguel,-15.8620695,-48.0357389
"QN 5 Conjunto 4, RIACHO FUNDO, RIACHO FUNDO",,apartamento,1400.0,65.0,2.0,,,aluguel,-15.8807317,-48.0138024
"Quadra 203, SUL, AGUAS CLARAS",,apartamento,2700.0,69.0,2.0,,1.0,aluguel,-29.9198671,-51.0635217
"Alameda das Acácias Quadra 107, NORTE, AGUAS CLARAS",,apartamento,3800.0,107.0,3.0,,2.0,aluguel,,
"Rua 37, SUL, AGUAS CLARAS",,apartamento,4000.0,55.0,1.0,,1.0,aluguel,-15.8348133,-48.0390942
"QMSW 5 Lote 8, SUDOESTE, BRASILIA",,kitnet,2200.0,1.0,1.0,,1.0,aluguel,-15.7940053,-47.9197148
"QRSW 3, SUDOESTE, BRASILIA",,apartamento,4200.0,60.0,2.0,,,aluguel,-15.7903291,-47.9317472
"EQRSW 2/3, SUDOESTE, BRASILIA",,apartamento,2600.0,36.0,1.0,,1.0,aluguel,-15.7920392,-47.9310884
"Rua 19, NORTE, AGUAS CLARAS",,apartamento,1600.0,38.0,1.0,,1.0,aluguel,-15.8418328,-48.0228719
"SQNW 107 Bloco F, NOROESTE, BRASILIA",,apartamento,5900.0,77.0,2.0,,1.0,aluguel,,
"SGCV Lote 27, PARK SUL, BRASILIA",,apartamento,6000.0,75.0,2.0,,2.0,aluguel,-15.8247211,-47.9537743
"SQSW 102 Bloco I, SUDOESTE, BRASILIA",,apartamento,8800.0,182.0,4.0,,2.0,aluguel,-15.8049392,-47.9279162
"Avenida Parque Águas Claras, NORTE, AGUAS CLARAS",,apartamento,8300.0,164.0,4.0,,3.0,aluguel,-15.8311467,-48.0150679
"QN 1 Conjunto 30, RIACHO FUNDO, RIACHO FUNDO",,apartamento,600.0,30.0,1.0,,,aluguel,-15.8793614,-48.0063892
"Quadra 107, NORTE, AGUAS CLARAS",,apartamento,6500.0,139.0,4.0,,2.0,aluguel,-15.8305187,-48.0308634
"SQS 210, ASA SUL, BRASILIA",,apartamento,11500.0,222.0,4.0,,1.0,aluguel,-15.823728,-47.906512
"SQS 103 Bloco A, ASA SUL, BRASILIA",,apartamento,5600.0,149.0,2.0,,1.0,aluguel,,
"Rua 36, NORTE, AGUAS CLARAS",,apartamento,2100.0,60.0,1.0,,1.0,aluguel,-15.8356039,-48.0380838
"SQS 212 Bloco K, ASA SUL, BRASILIA",,apartamento,14500.0,194.0,3.0,,2.0,aluguel,,
"QC 10 Rua P, JARDINS MANGUEIRAL, BRASILIA",,apartamento,2000.0,48.0,2.0,,1.0,aluguel,-15.8974233,-47.7986385
"STN Bloco K, ASA NORTE, BRASILIA",,kitnet,1250.0,27.0,1.0,,1.0,aluguel,,
"SGAS 905, ASA SUL, BRASILIA",,kitnet,2100.0,27.0,1.0,,,aluguel,-15.8042433,-47.9016082
"Alameda das Acácias Quadra 107, NORTE, AGUAS CLARAS",,apartamento,6500.0,144.0,3.0,,2.0,aluguel,,
"Avenida Parque Águas Claras, NORTE, AGUAS CLARAS",,apartamento,3200.0,72.0,3.0,,1.0,aluguel,-15.8311467,-48.0150679
"SGAS 905, ASA SUL, BRASILIA",,kitnet,2100.0,29.0,,,1.0,aluguel,-15.8042433,-47.9016082
"SCES Trecho 4, ASA SUL, BRASILIA",,apartamento,3700.0,48.0,1.0,,,aluguel,-15.8253954,-47.8868277
"SGCV Lote 19, PARK SUL, BRASILIA",,apartamento,10500.0,154.0,4.0,,3.0,aluguel,-15.8247211,-47.9537743
"CLN 411 Bloco E, ASA NORTE, BRASILIA",,kitnet,3000.0,41.0,1.0,,,aluguel,,
"Quadra 208, SUL, AGUAS CLARAS",,apartamento,5900.0,95.0,3.0,,2.0,aluguel,-29.9198671,-51.0635217
"QMSW 5, SUDOESTE, BRASILIA",,kitnet,2200.0,27.0,1.0,,,aluguel,-15.7940053,-47.9197148
