description,address,property_type,price,size,bedrooms,bathrooms,parking_spaces,contract_type,latitude,longitude
"SQNW 303 Bloco H, NOROESTE, BRASILIA",,apartamento,1391.0,77.0,2.0,,1.0,venda,-15.7414112,-47.9113569
"SQNW 106 Bloco DNOROESTE, BRASILIA",,apartamento,,165.0,4.0,,,venda,-15.7434,-47.915035
"SCLRN 716 Bloco D, ASA NORTE, BRASILIA",,apartamento,557000.0,48.0,2.0,,,venda,-15.7417029,-47.8987398
"SQNW 303NOROESTE, BRASILIA",,apartamento,,77.0,2.0,,,venda,-15.7482823,-47.91574319999999
"SQNW 304 Bloco ENOROESTE, BRASILIA",,apartamento,2851.0,164.0,4.0,,,venda,-15.7414114,-47.9113569
"Quadra 301 Rua D Conjunto 1, NORTE, AGUAS CLARAS",,apartamento,733900.0,99.0,2.0,,1.0,venda,-15.8315456,-48.017085
"Rua 24NORTE, AGUAS CLARAS",,apartamento,637750.0,55.0,1.0,,,venda,-15.8384319,-48.0287349
"SQS 204, ASA SUL, BRASILIA",,apartamento,1400.0,120.0,3.0,,1.0,venda,-15.8109379,-47.8912207
"SQS 309, ASA SUL, BRASILIA",,apartamento,1950.0,166.0,3.0,,1.0,venda,-15.8160644,-47.9079092
"SQNW 106 Bloco C, NOROESTE, BRASILIA",,apartamento,3376.0,204.0,4.0,,4.0,venda,-15.7561384,-47.9103231
"QI 29GUARA II, GUARA",,apartamento,,74.0,2.0,,,venda,-15.8395474,-47.9774445
"SQS 310, ASA SUL, BRASILIA",,apartamento,9900.0,470.0,4.0,,4.0,venda,-15.8177494,-47.9113094
"CCSW 2, SUDOESTE, BRASILIA",,apartamento,2505.0,210.0,4.0,,3.0,venda,-15.7956762,-47.92831349999999
"QR 202SAMAMBAIA NORTE, SAMAMBAIA",,apartamento,215000.0,28.0,1.0,,,venda,-15.8700986,-48.0900942
"SQSW 500 Bloco A, SUDOESTE, BRASILIA",,apartamento,3795.0,206.0,4.0,,4.0,venda,-15.7856059,-47.920991
"SQS 306 Bloco H, ASA SUL, BRASILIA",,apartamento,1550.0,154.0,4.0,,,venda,-15.8104604,-47.9014099
"SQNW 106 Bloco CNOROESTE, BRASILIA",,apartamento,3102.0,200.0,4.0,,,venda,-15.7554193,-47.9097103
"SQNW 106 Bloco C, NOROESTE, BRASILIA",,apartamento,3376.0,204.0,4.0,,4.0,venda,-15.7561384,-47.9103231
"Condomínio Morada dos Nobres, SETOR HABITACIONAL CONTAGEM, SOBRADINHO",,apartamento,564359.0,72.0,3.0,,,venda,-15.6736528,-47.8254967
"SQNW 306 Bloco JNOROESTE, BRASILIA",,apartamento,5213.0,288.0,4.0,,,venda,-15.7566108,-47.9127078
"SQNW 311 Bloco D, NOROESTE, BRASILIA",,apartamento,610000.0,35.0,1.0,,1.0,venda,-15.740749,-47.9138908
"SQSW 500 Bloco O, SUDOESTE, BRASILIA",,apartamento,3193.0,159.0,4.0,,3.0,venda,-15.7856059,-47.920991
"SQSW 500 Bloco O, SUDOESTE, BRASILIA",,apartamento,2596.0,124.0,3.0,,2.0,venda,-15.7856059,-47.920991
"QNO 12 Área Especial FCEILANDIA NORTE, CEILANDIA",,apartamento,258000.0,45.0,2.0,,,venda,-15.820354,-48.1229297
"CRNW 510, NOROESTE, BRASILIA",,kitnet,385000.0,30.0,1.0,,1.0,venda,-15.7470509,-47.9147151
"SGCV Lote 10PARK SUL, BRASILIA",,apartamento,,26.0,1.0,,,venda,-15.8224452,-47.9549939
"CRNW 510, NOROESTE, BRASILIA",,apartamento,385000.0,30.0,1.0,,1.0,venda,-15.7470509,-47.9147151
"SQSW 500 Bloco OSUDOESTE, BRASILIA",,apartamento,,159.0,4.0,,,venda,-15.7856059,-47.920991
"Condomínio Jardim Europa II, GRANDE COLORADO, SOBRADINHO",,apartamento,299000.0,73.0,2.0,,2.0,venda,-15.6690043,-47.8490764
"Rua IPE AMARELO, SUL, AGUAS CLARAS",,apartamento,820000.0,112.0,3.0,,,venda,-15.8380697,-48.0126839
"SQNW 304 Bloco HNOROESTE, BRASILIA",,apartamento,2682.0,145.0,3.0,,,venda,-15.76116,-47.9114363
"SQS 312, ASA SUL, BRASILIA",,apartamento,6000.0,341.0,4.0,,2.0,venda,-15.82244,-47.9162555
"SQSW 500 Bloco RSUDOESTE, BRASILIA",,apartamento,,275.0,3.0,,,venda,-15.7856059,-47.920991
"SGCV Lote 1, PARK SUL, BRASILIA",,apartamento,1994.0,126.0,3.0,,3.0,venda,-15.819561,-47.9530786
"SQN 113ASA NORTE, BRASILIA",,apartamento,2774.0,167.0,4.0,,,venda,-15.7432589,-47.9014325
"SQNW 105, NOROESTE, BRASILIA",,apartamento,2149.0,158.0,2.0,,3.0,venda,-15.7591102,-47.9090158
"Quadra 7 Comércio Local 2, SOBRADINHO, SOBRADINHO",,apartamento,689000.0,95.0,3.0,,1.0,venda,-15.6742476,-47.8257264
"Quadra 206SUL, AGUAS CLARAS",,apartamento,1719.0,139.0,4.0,,,venda,-15.838452,-48.0276695
"Condomínio Morada dos Nobres, SETOR HABITACIONAL CONTAGEM, SOBRADINHO",,apartamento,438000.0,59.0,2.0,,,venda,-15.6736528,-47.8254967
"SGCV Lote 1, PARK SUL, BRASILIA",,apartamento,2319.0,147.0,4.0,,3.0,venda,-15.819561,-47.9530786
"SQNW 304 Bloco DNOROESTE, BRASILIA",,apartamento,2127.0,113.0,3.0,,,venda,-15.76116,-47.9114363
"QN 412, SAMAMBAIA NORTE, SAMAMBAIA",,apartamento,469000.0,100.0,2.0,,1.0,venda,-15.8560003,-48.07633800000001
"SQNW 302 Bloco CNOROESTE, BRASILIA",,apartamento,,290.0,4.0,,,venda,-15.7683158,-47.911388
"SQSW 500 Bloco O, SUDOESTE, BRASILIA",,apartamento,2596.0,109.0,3.0,,2.0,venda,-15.7856059,-47.920991
"SQSW 500 Bloco VSUDOESTE, BRASILIA",,apartamento,,211.0,4.0,,,venda,-15.7856059,-47.920991
"CRNW 510 Bloco B Lote 5NOROESTE, BRASILIA",,apartamento,1763.0,70.0,,,,venda,-15.7448973,-47.9143435
"SQNW 104 Bloco J, NOROESTE, BRASILIA",,apartamento,4500.0,197.0,4.0,,4.0,venda,-15.7621704,-47.9098885
"SGCVPARK SUL, BRASILIA",,apartamento,850000.0,62.0,2.0,,,venda,-15.7975154,-47.89188739999999
"SQNW 310, NOROESTE, BRASILIA",,apartamento,1249.0,86.0,2.0,,2.0,venda,-15.7447981,-47.9131549
"SQNW 306 Bloco ANOROESTE, BRASILIA",,apartamento,,166.0,4.0,,,venda,-15.7566108,-47.9127078
"SQN 109 Bloco N, ASA NORTE, BRASILIA",,apartamento,2790.0,185.0,4.0,,3.0,venda,-15.7612322,-47.8869593
"SQNW 105, NOROESTE, BRASILIA",,apartamento,3250.0,194.0,4.0,,3.0,venda,-15.7591102,-47.9090158
"SQNW 302 Bloco BNOROESTE, BRASILIA",,apartamento,,146.0,4.0,,,venda,-15.7683158,-47.911388
